replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3994,15.5,-7406.26,14888.92,38.0,-7406.54,14887.47,37.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.4065,0.37,-7406.14,14888.68,38.0,-7406.49,14887.35,37.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.4502,26.88,-7406.24,14888.88,38.0,-7406.47,14887.33,37.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.3982,19.41,-7406.25,14888.9,38.0,-7406.55,14887.48,37.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.4103,19.16,-7406.26,14888.91,38.0,-7406.52,14887.42,37.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
6,SRV,1.0,0.21,-7406.05,14890.52,39.0,-7406.04,14888.48,38.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
7,SRV,,,,,,,,,0.2618,0.4894,
8,SRV,0.9307,0.19,-7406.04,14890.5,39.0,-7406.04,14888.49,38.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.3941,23.35,-7406.23,14888.85,38.0,-7406.4,14887.17,37.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.3979,0.24,-7406.14,14888.69,38.0,-7406.5,14887.38,37.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.395,0.21,-7406.14,14892.72,40.0,-7406.5,14891.43,39.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.3986,0.28,-7406.07,14892.58,40.0,-7406.42,14891.27,39.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.3959,0.24,-7406.13,14892.7,40.0,-7406.49,14891.4,39.0,0.2618,0.4894,Convergence/flat likelihood
4,SRV+Double,0.3935,7.41,-7406.32,14893.09,40.0,-7406.62,14891.66,39.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.3928,0.41,-7406.26,14892.96,40.0,-7406.62,14891.67,39.0,0.2618,0.4894,Convergence/flat likelihood
6,SRV+Double,0.4622,0.39,-7406.19,14892.83,40.0,-7406.46,14891.35,39.0,0.2618,0.4894,Convergence/flat likelihood
7,SRV+Double,0.3956,0.36,-7406.21,14892.86,40.0,-7406.57,14891.56,39.0,0.2618,0.4881,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.3985,0.3,-7406.18,14892.8,40.0,-7406.53,14891.49,39.0,0.2621,0.4893,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.3979,0.43,-7406.08,14892.6,40.0,-7406.44,14891.3,39.0,0.2619,0.4888,Convergence/flat likelihood
10,SRV+Double,0.3927,0.41,-7406.25,14892.95,40.0,-7406.62,14891.66,39.0,0.2618,0.4894,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,,,,,,,,,,,
2,SRV+Double+Triple,,,,,,,,,,,
3,SRV+Double+Triple,,,,,,,,,,,
4,SRV+Double+Triple,,,,,,,,,,,
5,SRV+Double+Triple,,,,,,,,,,,
6,SRV+Double+Triple,,,,,,,,,,,
7,SRV+Double+Triple,,,,,,,,,,,
8,SRV+Double+Triple,,,,,,,,,,,
9,SRV+Double+Triple,,,,,,,,,,,
10,SRV+Double+Triple,,,,,,,,,,,
