run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.033,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.393,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.4,,100.0
SRV,1,alternative,test,omega,Diversifying selection,1.035,,0.0
SRV,1,alternative,test,omega,Diversifying selection,1.033,,0.0
SRV,1,alternative,test,omega,Negative selection,0.367,,0.0
SRV,1,alternative,test,omega,Negative selection,0.375,,100.0
SRV,1,alternative,test,omega,Negative selection,0.393,,0.0
SRV,1,alternative,test,omega,Negative selection,0.4,,100.0
SRV,1,null,reference,omega,Diversifying selection,2.316,,0.0
SRV,1,null,reference,omega,Negative selection,0.313,,0.0
SRV,1,null,reference,omega,Negative selection,0.398,,100.0
SRV,1,null,test,omega,Diversifying selection,2.316,,0.0
SRV,1,null,test,omega,Negative selection,0.313,,0.0
SRV,1,null,test,omega,Negative selection,0.398,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,4.666,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.013,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.4,,100.0
SRV,2,alternative,test,omega,Diversifying selection,5.239,,0.0
SRV,2,alternative,test,omega,Diversifying selection,4.666,,0.0
SRV,2,alternative,test,omega,Negative selection,0.009,,0.0
SRV,2,alternative,test,omega,Negative selection,0.374,,100.0
SRV,2,alternative,test,omega,Negative selection,0.013,,0.0
SRV,2,alternative,test,omega,Negative selection,0.4,,100.0
SRV,2,null,reference,omega,Diversifying selection,1.442,,0.0
SRV,2,null,reference,omega,Negative selection,0.01,,0.0
SRV,2,null,reference,omega,Negative selection,0.398,,100.0
SRV,2,null,test,omega,Diversifying selection,1.442,,0.0
SRV,2,null,test,omega,Negative selection,0.01,,0.0
SRV,2,null,test,omega,Negative selection,0.398,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,1.023,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.396,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.399,,100.0
SRV,3,alternative,test,omega,Diversifying selection,1.024,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.023,,0.0
SRV,3,alternative,test,omega,Negative selection,0.373,,0.0
SRV,3,alternative,test,omega,Negative selection,0.376,,100.0
SRV,3,alternative,test,omega,Negative selection,0.396,,0.0
SRV,3,alternative,test,omega,Negative selection,0.399,,100.0
SRV,3,null,reference,omega,Diversifying selection,2.287,,0.0
SRV,3,null,reference,omega,Negative selection,0.316,,0.0
SRV,3,null,reference,omega,Negative selection,0.397,,100.0
SRV,3,null,test,omega,Diversifying selection,2.287,,0.0
SRV,3,null,test,omega,Negative selection,0.316,,0.0
SRV,3,null,test,omega,Negative selection,0.397,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,1.084,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.312,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.4,,100.0
SRV,4,alternative,test,omega,Diversifying selection,1.091,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.084,,0.0
SRV,4,alternative,test,omega,Negative selection,0.287,,0.0
