run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,7.986,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.057,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.446,,100.0
SRV,1,alternative,test,omega,Diversifying selection,34.873,,0.0
SRV,1,alternative,test,omega,Diversifying selection,7.986,,0.0
SRV,1,alternative,test,omega,Negative selection,0.007,,0.0
SRV,1,alternative,test,omega,Negative selection,0.251,,100.0
SRV,1,alternative,test,omega,Negative selection,0.057,,0.0
SRV,1,alternative,test,omega,Negative selection,0.446,,100.0
SRV,1,null,reference,omega,Diversifying selection,1.336,,0.0
SRV,1,null,reference,omega,Negative selection,0.041,,0.0
SRV,1,null,reference,omega,Negative selection,0.398,,100.0
SRV,1,null,test,omega,Diversifying selection,1.336,,0.0
SRV,1,null,test,omega,Negative selection,0.041,,0.0
SRV,1,null,test,omega,Negative selection,0.398,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,1.651,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.434,,82.305
SRV,2,alternative,reference,omega,Negative selection,0.485,,17.695
SRV,2,alternative,test,omega,Diversifying selection,2.262,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.651,,0.0
SRV,2,alternative,test,omega,Negative selection,0.23,,17.695
SRV,2,alternative,test,omega,Negative selection,0.257,,82.305
SRV,2,alternative,test,omega,Negative selection,0.434,,82.305
SRV,2,alternative,test,omega,Negative selection,0.485,,17.695
SRV,2,null,reference,omega,Diversifying selection,8.106,,0.0
SRV,2,null,reference,omega,Negative selection,0.264,,0.0
SRV,2,null,reference,omega,Negative selection,0.446,,100.0
SRV,2,null,test,omega,Diversifying selection,8.106,,0.0
SRV,2,null,test,omega,Negative selection,0.264,,0.0
SRV,2,null,test,omega,Negative selection,0.446,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,1.718,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.079,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.445,,100.0
SRV,3,alternative,test,omega,Diversifying selection,2.507,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.718,,0.0
SRV,3,alternative,test,omega,Negative selection,0.013,,0.0
SRV,3,alternative,test,omega,Negative selection,0.252,,100.0
SRV,3,alternative,test,omega,Negative selection,0.079,,0.0
SRV,3,alternative,test,omega,Negative selection,0.445,,100.0
SRV,3,null,reference,omega,Diversifying selection,2.892,,0.0
SRV,3,null,reference,omega,Negative selection,0.056,,0.0
SRV,3,null,reference,omega,Negative selection,0.398,,100.0
SRV,3,null,test,omega,Diversifying selection,2.892,,0.0
SRV,3,null,test,omega,Negative selection,0.056,,0.0
SRV,3,null,test,omega,Negative selection,0.398,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,1.705,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.001,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.444,,100.0
SRV,4,alternative,test,omega,Diversifying selection,2.471,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.705,,0.0
SRV,4,alternative,test,omega,Negative selection,0.0,,0.0
SRV,4,alternative,test,omega,Negative selection,0.253,,100.0
SRV,4,alternative,test,omega,Negative selection,0.001,,0.0
SRV,4,alternative,test,omega,Negative selection,0.444,,100.0
SRV,4,null,reference,omega,Diversifying selection,3.195,,0.0
SRV,4,null,reference,omega,Negative selection,0.003,,0.0
SRV,4,null,reference,omega,Negative selection,0.398,,100.0
SRV,4,null,test,omega,Diversifying selection,3.195,,0.0
SRV,4,null,test,omega,Negative selection,0.003,,0.0
SRV,4,null,test,omega,Negative selection,0.398,,100.0
SRV,5,alternative,reference,omega,Diversifying selection,8.158,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.057,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.446,,100.0
SRV,5,alternative,test,omega,Diversifying selection,35.754,,0.0
SRV,5,alternative,test,omega,Diversifying selection,8.158,,0.0
SRV,5,alternative,test,omega,Negative selection,0.008,,0.0
SRV,5,alternative,test,omega,Negative selection,0.252,,100.0
SRV,5,alternative,test,omega,Negative selection,0.057,,0.0
SRV,5,alternative,test,omega,Negative selection,0.446,,100.0
SRV,5,null,reference,omega,Diversifying selection,1.332,,0.0
SRV,5,null,reference,omega,Negative selection,0.064,,0.0
SRV,5,null,reference,omega,Negative selection,0.398,,100.0
SRV,5,null,test,omega,Diversifying selection,1.332,,0.0
SRV,5,null,test,omega,Negative selection,0.064,,0.0
SRV,5,null,test,omega,Negative selection,0.398,,100.0
SRV,6,alternative,reference,omega,Diversifying selection,1.579,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.171,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.444,,100.0
SRV,6,alternative,test,omega,Diversifying selection,2.167,,0.0
SRV,6,alternative,test,omega,Diversifying selection,1.579,,0.0
SRV,6,alternative,test,omega,Negative selection,0.05,,0.0
SRV,6,alternative,test,omega,Negative selection,0.253,,100.0
SRV,6,alternative,test,omega,Negative selection,0.171,,0.0
SRV,6,alternative,test,omega,Negative selection,0.444,,100.0
SRV,6,null,reference,omega,Diversifying selection,2.6,,0.0
SRV,6,null,reference,omega,Negative selection,0.121,,0.0
SRV,6,null,reference,omega,Negative selection,0.398,,100.0
SRV,6,null,test,omega,Diversifying selection,2.6,,0.0
SRV,6,null,test,omega,Negative selection,0.121,,0.0
SRV,6,null,test,omega,Negative selection,0.398,,100.0
SRV,7,alternative,reference,omega,Diversifying selection,1.006,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.443,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.443,,100.0
SRV,7,alternative,test,omega,Diversifying selection,1.011,,0.0
SRV,7,alternative,test,omega,Diversifying selection,1.006,,0.0
SRV,7,alternative,test,omega,Negative selection,0.252,,0.0
SRV,7,alternative,test,omega,Negative selection,0.252,,100.0
SRV,7,alternative,test,omega,Negative selection,0.443,,0.0
SRV,7,alternative,test,omega,Negative selection,0.443,,100.0
SRV,7,null,reference,omega,Diversifying selection,1.608,,0.0
SRV,7,null,reference,omega,Negative selection,0.398,,76.399
SRV,7,null,reference,omega,Negative selection,0.402,,23.601
SRV,7,null,test,omega,Diversifying selection,1.608,,0.0
SRV,7,null,test,omega,Negative selection,0.398,,76.399
SRV,7,null,test,omega,Negative selection,0.402,,23.601
SRV,8,alternative,reference,omega,Diversifying selection,1.506,,0.0
SRV,8,alternative,reference,omega,Negative selection,0.445,,100.0
SRV,8,alternative,reference,omega,Negative selection,0.514,,0.0
SRV,8,alternative,test,omega,Diversifying selection,2.009,,0.0
SRV,8,alternative,test,omega,Diversifying selection,1.506,,0.0
SRV,8,alternative,test,omega,Negative selection,0.252,,100.0
SRV,8,alternative,test,omega,Negative selection,0.322,,0.0
SRV,8,alternative,test,omega,Negative selection,0.445,,100.0
SRV,8,alternative,test,omega,Negative selection,0.514,,0.0
SRV,8,null,reference,omega,Diversifying selection,2.723,,0.0
SRV,8,null,reference,omega,Negative selection,0.376,,0.0
SRV,8,null,reference,omega,Negative selection,0.398,,100.0
SRV,8,null,test,omega,Diversifying selection,2.723,,0.0
SRV,8,null,test,omega,Negative selection,0.376,,0.0
SRV,8,null,test,omega,Negative selection,0.398,,100.0
SRV,9,alternative,reference,omega,Diversifying selection,3.529,,0.0
SRV,9,alternative,reference,omega,Negative selection,0.194,,0.0
SRV,9,alternative,reference,omega,Negative selection,0.447,,100.0
SRV,9,alternative,test,omega,Diversifying selection,8.636,,0.0
SRV,9,alternative,test,omega,Diversifying selection,3.529,,0.0
SRV,9,alternative,test,omega,Negative selection,0.061,,0.0
SRV,9,alternative,test,omega,Negative selection,0.252,,100.0
SRV,9,alternative,test,omega,Negative selection,0.194,,0.0
SRV,9,alternative,test,omega,Negative selection,0.447,,100.0
SRV,9,null,reference,omega,Diversifying selection,1.356,,0.0
SRV,9,null,reference,omega,Negative selection,0.141,,0.0
SRV,9,null,reference,omega,Negative selection,0.399,,100.0
SRV,9,null,test,omega,Diversifying selection,1.356,,0.0
SRV,9,null,test,omega,Negative selection,0.141,,0.0
SRV,9,null,test,omega,Negative selection,0.399,,100.0
SRV,10,alternative,reference,omega,Diversifying selection,1.327,,0.0
SRV,10,alternative,reference,omega,Negative selection,0.297,,0.0
SRV,10,alternative,reference,omega,Negative selection,0.445,,100.0
SRV,10,alternative,test,omega,Diversifying selection,1.616,,0.0
SRV,10,alternative,test,omega,Diversifying selection,1.327,,0.0
SRV,10,alternative,test,omega,Negative selection,0.128,,0.0
SRV,10,alternative,test,omega,Negative selection,0.253,,100.0
SRV,10,alternative,test,omega,Negative selection,0.297,,0.0
SRV,10,alternative,test,omega,Negative selection,0.445,,100.0
SRV,10,null,reference,omega,Diversifying selection,2.313,,0.0
SRV,10,null,reference,omega,Negative selection,0.217,,0.0
SRV,10,null,reference,omega,Negative selection,0.398,,100.0
SRV,10,null,test,omega,Diversifying selection,2.313,,0.0
SRV,10,null,test,omega,Negative selection,0.217,,0.0
SRV,10,null,test,omega,Negative selection,0.398,,100.0
SRV+Double,1,alternative,reference,omega,Diversifying selection,1.722,,0.0
SRV+Double,1,alternative,reference,omega,Negative selection,0.444,,100.0
SRV+Double,1,alternative,reference,omega,Negative selection,0.728,,0.0
SRV+Double,1,alternative,test,omega,Diversifying selection,2.551,,0.0
SRV+Double,1,alternative,test,omega,Diversifying selection,1.722,,0.0
SRV+Double,1,alternative,test,omega,Negative selection,0.247,,100.0
SRV+Double,1,alternative,test,omega,Negative selection,0.579,,0.0
SRV+Double,1,alternative,test,omega,Negative selection,0.444,,100.0
SRV+Double,1,alternative,test,omega,Negative selection,0.728,,0.0
SRV+Double,1,null,reference,omega,Diversifying selection,3.637,,0.0
SRV+Double,1,null,reference,omega,Negative selection,0.397,,100.0
SRV+Double,1,null,reference,omega,Negative selection,0.522,,0.0
SRV+Double,1,null,test,omega,Diversifying selection,3.637,,0.0
SRV+Double,1,null,test,omega,Negative selection,0.397,,100.0
SRV+Double,1,null,test,omega,Negative selection,0.522,,0.0
SRV+Double,2,alternative,reference,omega,Diversifying selection,1.568,,0.0
SRV+Double,2,alternative,reference,omega,Negative selection,0.017,,0.0
SRV+Double,2,alternative,reference,omega,Negative selection,0.444,,100.0
SRV+Double,2,alternative,test,omega,Diversifying selection,2.169,,0.0
SRV+Double,2,alternative,test,omega,Diversifying selection,1.568,,0.0
SRV+Double,2,alternative,test,omega,Negative selection,0.001,,0.0
SRV+Double,2,alternative,test,omega,Negative selection,0.247,,100.0
SRV+Double,2,alternative,test,omega,Negative selection,0.017,,0.0
SRV+Double,2,alternative,test,omega,Negative selection,0.444,,100.0
SRV+Double,2,null,reference,omega,Diversifying selection,2.692,,0.0
SRV+Double,2,null,reference,omega,Negative selection,0.012,,0.0
SRV+Double,2,null,reference,omega,Negative selection,0.397,,100.0
SRV+Double,2,null,test,omega,Diversifying selection,2.692,,0.0
SRV+Double,2,null,test,omega,Negative selection,0.012,,0.0
SRV+Double,2,null,test,omega,Negative selection,0.397,,100.0
SRV+Double,3,alternative,reference,omega,Diversifying selection,1.405,,0.0
SRV+Double,3,alternative,reference,omega,Negative selection,0.018,,0.0
SRV+Double,3,alternative,reference,omega,Negative selection,0.447,,100.0
SRV+Double,3,alternative,test,omega,Diversifying selection,1.807,,0.0
SRV+Double,3,alternative,test,omega,Diversifying selection,1.405,,0.0
SRV+Double,3,alternative,test,omega,Negative selection,0.001,,0.0
SRV+Double,3,alternative,test,omega,Negative selection,0.246,,100.0
SRV+Double,3,alternative,test,omega,Negative selection,0.018,,0.0
SRV+Double,3,alternative,test,omega,Negative selection,0.447,,100.0
