model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.002,7.55,SRV,1
null,2,0.002,41.294,SRV,1
null,3,1.953,51.156,SRV,1
null,1,0.0,18.449,SRV,2
null,2,0.369,47.282,SRV,2
null,3,2.409,34.269,SRV,2
null,1,0.002,48.847,SRV,3
null,2,0.025,0.0,SRV,3
null,3,1.953,51.153,SRV,3
null,1,0.002,48.856,SRV,4
null,2,0.023,0.0,SRV,4
null,3,1.954,51.144,SRV,4
null,1,0.0,33.061,SRV,5
null,2,1.244,60.087,SRV,5
null,3,3.685,6.852,SRV,5
null,1,0.0,28.286,SRV,6
null,2,0.503,38.111,SRV,6
null,3,2.405,33.603,SRV,6
null,1,0.0,32.574,SRV,7
null,2,1.234,60.709,SRV,7
null,3,3.736,6.717,SRV,7
null,1,0.002,41.653,SRV,8
null,2,0.762,58.214,SRV,8
null,3,416.71,0.133,SRV,8
null,1,0.0,0.0,SRV,9
null,2,0.002,48.835,SRV,9
null,3,1.953,51.165,SRV,9
null,1,0.0,23.695,SRV,10
null,2,0.452,43.432,SRV,10
null,3,2.445,32.873,SRV,10
