replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.2646,16.21,-7406.0,14888.41,38.0,-7406.4,14887.17,37.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.2733,18.39,-7406.02,14888.44,38.0,-7406.54,14887.46,37.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.2721,18.23,-7406.02,14888.44,38.0,-7406.54,14887.45,37.0,0.2618,0.6848,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.2682,0.07,-7405.89,14888.18,38.0,-7406.5,14887.39,37.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.2689,12.16,-7405.98,14888.36,38.0,-7406.49,14887.36,37.0,0.2617,0.6854,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.2657,13.86,-7405.93,14888.26,38.0,-7406.43,14887.24,37.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.2691,15.07,-7406.03,14888.46,38.0,-7406.55,14887.48,37.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.8929,0.1,-7405.78,14889.98,39.0,-7405.79,14887.98,38.0,0.2617,0.6837,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.2673,26.88,-7406.01,14888.41,38.0,-7406.55,14887.49,37.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.2693,20.49,-7406.01,14888.43,38.0,-7406.55,14887.48,37.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.2657,0.11,-7405.92,14892.29,40.0,-7406.54,14891.51,39.0,0.2617,0.6854,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.263,0.09,-7405.78,14892.0,40.0,-7406.4,14891.23,39.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.2633,0.08,-7405.77,14891.98,40.0,-7406.39,14891.21,39.0,0.2619,0.6877,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.2674,0.18,-7405.97,14892.39,40.0,-7406.59,14891.6,39.0,0.2616,0.6841,Convergence/flat likelihood
5,SRV+Double,0.2672,0.1,-7405.88,14892.21,40.0,-7406.5,14891.42,39.0,0.2616,0.6841,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.2666,0.19,-7405.94,14892.32,40.0,-7406.55,14891.53,39.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.2663,0.1,-7405.81,14892.06,40.0,-7406.43,14891.27,39.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.2683,0.19,-7405.94,14892.32,40.0,-7406.55,14891.52,39.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.262,0.07,-7405.81,14892.05,40.0,-7406.43,14891.29,39.0,0.2618,0.6861,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.2684,0.19,-7405.94,14892.32,40.0,-7406.55,14891.52,39.0,0.2618,0.6861,Convergence/flat likelihood
1,SRV+Double+Triple,,,,,,,,,,,
2,SRV+Double+Triple,,,,,,,,,,,
3,SRV+Double+Triple,,,,,,,,,,,
4,SRV+Double+Triple,,,,,,,,,,,
5,SRV+Double+Triple,,,,,,,,,,,
6,SRV+Double+Triple,,,,,,,,,,,
7,SRV+Double+Triple,,,,,,,,,,,
8,SRV+Double+Triple,,,,,,,,,,,
9,SRV+Double+Triple,,,,,,,,,,,
10,SRV+Double+Triple,,,,,,,,,,,
