model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.008,0.0,SRV,1
alternative,reference,Negative selection,0.0,66.821,SRV,1
alternative,reference,Negative selection,0.62,33.179,SRV,1
alternative,test,Diversifying selection,1.021,0.0,SRV,1
alternative,test,Diversifying selection,1.008,0.0,SRV,1
alternative,test,Negative selection,0.0,66.821,SRV,1
alternative,test,Negative selection,0.267,33.179,SRV,1
alternative,test,Negative selection,0.0,66.821,SRV,1
alternative,test,Negative selection,0.62,33.179,SRV,1
null,reference,Diversifying selection,1.75,0.0,SRV,1
null,reference,Negative selection,0.0,66.042,SRV,1
null,reference,Negative selection,0.577,33.958,SRV,1
null,test,Diversifying selection,1.75,0.0,SRV,1
null,test,Negative selection,0.0,66.042,SRV,1
null,test,Negative selection,0.577,33.958,SRV,1
alternative,reference,Diversifying selection,1.005,0.0,SRV,2
alternative,reference,Negative selection,0.0,66.601,SRV,2
alternative,reference,Negative selection,0.615,33.399,SRV,2
alternative,test,Diversifying selection,1.013,0.0,SRV,2
alternative,test,Diversifying selection,1.005,0.0,SRV,2
alternative,test,Negative selection,0.0,66.601,SRV,2
alternative,test,Negative selection,0.266,33.399,SRV,2
alternative,test,Negative selection,0.0,66.601,SRV,2
alternative,test,Negative selection,0.615,33.399,SRV,2
null,reference,Diversifying selection,1.436,0.0,SRV,2
null,reference,Negative selection,0.0,65.986,SRV,2
null,reference,Negative selection,0.576,34.014,SRV,2
null,test,Diversifying selection,1.436,0.0,SRV,2
null,test,Negative selection,0.0,65.986,SRV,2
null,test,Negative selection,0.576,34.014,SRV,2
alternative,reference,Diversifying selection,1.038,20.671,SRV,3
alternative,reference,Negative selection,0.0,79.329,SRV,3
alternative,reference,Negative selection,0.0,0.0,SRV,3
alternative,test,Diversifying selection,1.0,20.671,SRV,3
alternative,test,Diversifying selection,1.038,20.671,SRV,3
alternative,test,Negative selection,0.0,79.329,SRV,3
alternative,test,Negative selection,1.0,0.0,SRV,3
alternative,test,Negative selection,0.0,79.329,SRV,3
alternative,test,Negative selection,0.0,0.0,SRV,3
null,reference,Diversifying selection,1.967,0.0,SRV,3
null,reference,Negative selection,0.0,65.961,SRV,3
null,reference,Negative selection,0.577,34.039,SRV,3
null,test,Diversifying selection,1.967,0.0,SRV,3
null,test,Negative selection,0.0,65.961,SRV,3
null,test,Negative selection,0.577,34.039,SRV,3
alternative,reference,Diversifying selection,1.03,20.754,SRV,4
alternative,reference,Negative selection,0.0,16.121,SRV,4
alternative,reference,Negative selection,0.0,63.125,SRV,4
alternative,test,Diversifying selection,1.0,20.754,SRV,4
alternative,test,Diversifying selection,1.03,20.754,SRV,4
alternative,test,Negative selection,0.0,16.121,SRV,4
alternative,test,Negative selection,0.0,63.125,SRV,4
alternative,test,Negative selection,0.0,16.121,SRV,4
alternative,test,Negative selection,0.0,63.125,SRV,4
null,reference,Diversifying selection,1.011,0.0,SRV,4
null,reference,Negative selection,0.0,64.387,SRV,4
null,reference,Negative selection,0.546,35.613,SRV,4
null,test,Diversifying selection,1.011,0.0,SRV,4
null,test,Negative selection,0.0,64.387,SRV,4
null,test,Negative selection,0.546,35.613,SRV,4
alternative,reference,Diversifying selection,1.015,0.0,SRV,5
alternative,reference,Negative selection,0.0,65.039,SRV,5
alternative,reference,Negative selection,0.585,34.961,SRV,5
alternative,test,Diversifying selection,1.04,0.0,SRV,5
alternative,test,Diversifying selection,1.015,0.0,SRV,5
alternative,test,Negative selection,0.0,65.039,SRV,5
alternative,test,Negative selection,0.254,34.961,SRV,5
alternative,test,Negative selection,0.0,65.039,SRV,5
alternative,test,Negative selection,0.585,34.961,SRV,5
null,reference,Diversifying selection,1.634,0.0,SRV,5
null,reference,Negative selection,0.0,65.965,SRV,5
null,reference,Negative selection,0.576,34.035,SRV,5
null,test,Diversifying selection,1.634,0.0,SRV,5
null,test,Negative selection,0.0,65.965,SRV,5
null,test,Negative selection,0.576,34.035,SRV,5
alternative,reference,Diversifying selection,1.002,0.0,SRV,6
alternative,reference,Negative selection,0.0,65.034,SRV,6
alternative,reference,Negative selection,0.585,34.966,SRV,6
alternative,test,Diversifying selection,1.004,0.0,SRV,6
alternative,test,Diversifying selection,1.002,0.0,SRV,6
alternative,test,Negative selection,0.0,65.034,SRV,6
alternative,test,Negative selection,0.254,34.966,SRV,6
alternative,test,Negative selection,0.0,65.034,SRV,6
alternative,test,Negative selection,0.585,34.966,SRV,6
null,reference,Diversifying selection,2.083,0.0,SRV,6
null,reference,Negative selection,0.0,66.052,SRV,6
null,reference,Negative selection,0.577,33.948,SRV,6
null,test,Diversifying selection,2.083,0.0,SRV,6
null,test,Negative selection,0.0,66.052,SRV,6
null,test,Negative selection,0.577,33.948,SRV,6
alternative,reference,Diversifying selection,1.012,0.0,SRV,7
alternative,reference,Negative selection,0.0,66.852,SRV,7
alternative,reference,Negative selection,0.621,33.148,SRV,7
alternative,test,Diversifying selection,1.033,0.0,SRV,7
alternative,test,Diversifying selection,1.012,0.0,SRV,7
alternative,test,Negative selection,0.0,66.852,SRV,7
alternative,test,Negative selection,0.267,33.148,SRV,7
alternative,test,Negative selection,0.0,66.852,SRV,7
alternative,test,Negative selection,0.621,33.148,SRV,7
null,reference,Diversifying selection,1.777,0.0,SRV,7
null,reference,Negative selection,0.0,66.021,SRV,7
null,reference,Negative selection,0.577,33.979,SRV,7
null,test,Diversifying selection,1.777,0.0,SRV,7
null,test,Negative selection,0.0,66.021,SRV,7
null,test,Negative selection,0.577,33.979,SRV,7
alternative,reference,Diversifying selection,1.005,0.0,SRV,8
alternative,reference,Negative selection,0.023,72.277,SRV,8
alternative,reference,Negative selection,0.683,27.723,SRV,8
alternative,test,Diversifying selection,1.003,0.0,SRV,8
alternative,test,Diversifying selection,1.005,0.0,SRV,8
alternative,test,Negative selection,0.079,72.277,SRV,8
alternative,test,Negative selection,0.111,27.723,SRV,8
alternative,test,Negative selection,0.023,72.277,SRV,8
alternative,test,Negative selection,0.683,27.723,SRV,8
null,reference,Diversifying selection,1.011,0.0,SRV,8
null,reference,Negative selection,0.022,71.806,SRV,8
null,reference,Negative selection,0.671,28.194,SRV,8
null,test,Diversifying selection,1.011,0.0,SRV,8
null,test,Negative selection,0.022,71.806,SRV,8
null,test,Negative selection,0.671,28.194,SRV,8
alternative,reference,Negative selection,0.099,60.456,SRV,9
alternative,reference,Negative selection,0.111,28.431,SRV,9
alternative,reference,Neutral evolution,1.0,11.113,SRV,9
alternative,test,Negative selection,0.0,60.456,SRV,9
alternative,test,Negative selection,0.0,28.431,SRV,9
alternative,test,Negative selection,0.099,60.456,SRV,9
alternative,test,Negative selection,0.111,28.431,SRV,9
alternative,test,Neutral evolution,1.0,11.113,SRV,9
alternative,test,Neutral evolution,1.0,11.113,SRV,9
null,reference,Negative selection,0.073,31.541,SRV,9
null,reference,Negative selection,0.095,56.401,SRV,9
null,reference,Neutral evolution,1.0,12.058,SRV,9
null,test,Negative selection,0.073,31.541,SRV,9
null,test,Negative selection,0.095,56.401,SRV,9
null,test,Neutral evolution,1.0,12.058,SRV,9
alternative,reference,Diversifying selection,1.009,0.0,SRV,10
alternative,reference,Negative selection,0.0,67.165,SRV,10
alternative,reference,Negative selection,0.627,32.835,SRV,10
alternative,test,Diversifying selection,1.025,0.0,SRV,10
alternative,test,Diversifying selection,1.009,0.0,SRV,10
alternative,test,Negative selection,0.0,67.165,SRV,10
alternative,test,Negative selection,0.269,32.835,SRV,10
alternative,test,Negative selection,0.0,67.165,SRV,10
alternative,test,Negative selection,0.627,32.835,SRV,10
null,reference,Diversifying selection,1.411,0.0,SRV,10
null,reference,Negative selection,0.0,65.941,SRV,10
null,reference,Negative selection,0.575,34.059,SRV,10
null,test,Diversifying selection,1.411,0.0,SRV,10
null,test,Negative selection,0.0,65.941,SRV,10
null,test,Negative selection,0.575,34.059,SRV,10
alternative,reference,Diversifying selection,1.011,0.0,SRV+Double,1
alternative,reference,Negative selection,0.0,54.433,SRV+Double,1
alternative,reference,Negative selection,0.429,45.567,SRV+Double,1
alternative,test,Diversifying selection,1.022,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.011,0.0,SRV+Double,1
alternative,test,Negative selection,0.0,54.433,SRV+Double,1
alternative,test,Negative selection,0.192,45.567,SRV+Double,1
alternative,test,Negative selection,0.0,54.433,SRV+Double,1
alternative,test,Negative selection,0.429,45.567,SRV+Double,1
null,reference,Diversifying selection,1.751,0.0,SRV+Double,1
null,reference,Negative selection,0.005,55.388,SRV+Double,1
null,reference,Negative selection,0.413,44.612,SRV+Double,1
null,test,Diversifying selection,1.751,0.0,SRV+Double,1
null,test,Negative selection,0.005,55.388,SRV+Double,1
null,test,Negative selection,0.413,44.612,SRV+Double,1
alternative,reference,Diversifying selection,1.009,0.0,SRV+Double,2
alternative,reference,Negative selection,0.0,54.608,SRV+Double,2
alternative,reference,Negative selection,0.432,45.392,SRV+Double,2
alternative,test,Diversifying selection,1.018,0.0,SRV+Double,2
alternative,test,Diversifying selection,1.009,0.0,SRV+Double,2
alternative,test,Negative selection,0.0,54.608,SRV+Double,2
alternative,test,Negative selection,0.195,45.392,SRV+Double,2
alternative,test,Negative selection,0.0,54.608,SRV+Double,2
alternative,test,Negative selection,0.432,45.392,SRV+Double,2
null,reference,Diversifying selection,1.681,0.0,SRV+Double,2
null,reference,Negative selection,0.007,55.586,SRV+Double,2
null,reference,Negative selection,0.412,44.414,SRV+Double,2
null,test,Diversifying selection,1.681,0.0,SRV+Double,2
null,test,Negative selection,0.007,55.586,SRV+Double,2
null,test,Negative selection,0.412,44.414,SRV+Double,2
alternative,reference,Diversifying selection,1.009,0.0,SRV+Double,3
alternative,reference,Negative selection,0.0,53.897,SRV+Double,3
alternative,reference,Negative selection,0.424,46.103,SRV+Double,3
alternative,test,Diversifying selection,1.018,0.0,SRV+Double,3
alternative,test,Diversifying selection,1.009,0.0,SRV+Double,3
alternative,test,Negative selection,0.0,53.897,SRV+Double,3
alternative,test,Negative selection,0.19,46.103,SRV+Double,3
alternative,test,Negative selection,0.0,53.897,SRV+Double,3
alternative,test,Negative selection,0.424,46.103,SRV+Double,3
null,reference,Diversifying selection,1.773,0.0,SRV+Double,3
null,reference,Negative selection,0.002,54.846,SRV+Double,3
null,reference,Negative selection,0.412,45.154,SRV+Double,3
null,test,Diversifying selection,1.773,0.0,SRV+Double,3
null,test,Negative selection,0.002,54.846,SRV+Double,3
null,test,Negative selection,0.412,45.154,SRV+Double,3
alternative,reference,Negative selection,0.0,7.736,SRV+Double,4
alternative,reference,Negative selection,0.155,86.251,SRV+Double,4
alternative,reference,Neutral evolution,1.0,6.013,SRV+Double,4
alternative,test,Negative selection,0.0,7.736,SRV+Double,4
alternative,test,Negative selection,0.041,86.251,SRV+Double,4
alternative,test,Negative selection,0.0,7.736,SRV+Double,4
alternative,test,Negative selection,0.155,86.251,SRV+Double,4
alternative,test,Neutral evolution,1.0,6.013,SRV+Double,4
alternative,test,Neutral evolution,1.0,6.013,SRV+Double,4
null,reference,Negative selection,0.0,7.038,SRV+Double,4
null,reference,Negative selection,0.149,87.495,SRV+Double,4
null,reference,Neutral evolution,1.0,5.467,SRV+Double,4
null,test,Negative selection,0.0,7.038,SRV+Double,4
null,test,Negative selection,0.149,87.495,SRV+Double,4
null,test,Neutral evolution,1.0,5.467,SRV+Double,4
alternative,reference,Diversifying selection,1.002,0.0,SRV+Double,5
alternative,reference,Negative selection,0.0,53.166,SRV+Double,5
alternative,reference,Negative selection,0.417,46.834,SRV+Double,5
alternative,test,Diversifying selection,1.004,0.0,SRV+Double,5
alternative,test,Diversifying selection,1.002,0.0,SRV+Double,5
alternative,test,Negative selection,0.0,53.166,SRV+Double,5
alternative,test,Negative selection,0.187,46.834,SRV+Double,5
alternative,test,Negative selection,0.0,53.166,SRV+Double,5
alternative,test,Negative selection,0.417,46.834,SRV+Double,5
null,reference,Diversifying selection,1.789,0.0,SRV+Double,5
null,reference,Negative selection,0.0,53.69,SRV+Double,5
null,reference,Negative selection,0.404,46.31,SRV+Double,5
null,test,Diversifying selection,1.789,0.0,SRV+Double,5
null,test,Negative selection,0.0,53.69,SRV+Double,5
null,test,Negative selection,0.404,46.31,SRV+Double,5
alternative,reference,Diversifying selection,1.002,0.0,SRV+Double,6
