run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Negative selection,0.031,,31.145
SRV,1,alternative,reference,omega,Negative selection,0.108,,57.272
SRV,1,alternative,reference,omega,Neutral evolution,1.0,,11.583
SRV,1,alternative,test,omega,Negative selection,0.144,,31.145
SRV,1,alternative,test,omega,Negative selection,0.29,,57.272
SRV,1,alternative,test,omega,Negative selection,0.031,,31.145
SRV,1,alternative,test,omega,Negative selection,0.108,,57.272
SRV,1,alternative,test,omega,Neutral evolution,1.0,,11.583
SRV,1,alternative,test,omega,Neutral evolution,1.0,,11.583
SRV,1,null,reference,omega,Negative selection,0.0,,30.86
SRV,1,null,reference,omega,Negative selection,0.146,,57.913
SRV,1,null,reference,omega,Neutral evolution,1.0,,11.228
SRV,1,null,test,omega,Negative selection,0.0,,30.86
SRV,1,null,test,omega,Negative selection,0.146,,57.913
SRV,1,null,test,omega,Neutral evolution,1.0,,11.228
SRV,2,alternative,reference,omega,Negative selection,0.023,,35.734
SRV,2,alternative,reference,omega,Negative selection,0.124,,52.905
SRV,2,alternative,reference,omega,Neutral evolution,1.0,,11.362
SRV,2,alternative,test,omega,Negative selection,0.126,,35.734
SRV,2,alternative,test,omega,Negative selection,0.316,,52.905
SRV,2,alternative,test,omega,Negative selection,0.023,,35.734
SRV,2,alternative,test,omega,Negative selection,0.124,,52.905
SRV,2,alternative,test,omega,Neutral evolution,1.0,,11.362
SRV,2,alternative,test,omega,Neutral evolution,1.0,,11.362
SRV,2,null,reference,omega,Negative selection,0.0,,36.029
SRV,2,null,reference,omega,Negative selection,0.164,,52.958
SRV,2,null,reference,omega,Neutral evolution,1.0,,11.013
SRV,2,null,test,omega,Negative selection,0.0,,36.029
SRV,2,null,test,omega,Negative selection,0.164,,52.958
SRV,2,null,test,omega,Neutral evolution,1.0,,11.013
SRV,3,alternative,reference,omega,Negative selection,0.046,,14.584
SRV,3,alternative,reference,omega,Negative selection,0.085,,73.553
