run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,4.277,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.269,,100.0
SRV,1,alternative,reference,omega,Negative selection,0.854,,0.0
SRV,1,alternative,test,omega,Diversifying selection,4.277,,0.0
SRV,1,alternative,test,omega,Negative selection,0.0,,100.0
SRV,1,alternative,test,omega,Negative selection,0.082,,0.0
SRV,1,alternative,test,omega,Negative selection,0.269,,100.0
SRV,1,alternative,test,omega,Negative selection,0.854,,0.0
SRV,1,null,reference,omega,Diversifying selection,1.368,,0.0
SRV,1,null,reference,omega,Negative selection,0.266,,100.0
SRV,1,null,reference,omega,Negative selection,0.682,,0.0
SRV,1,null,test,omega,Diversifying selection,1.368,,0.0
SRV,1,null,test,omega,Negative selection,0.266,,100.0
SRV,1,null,test,omega,Negative selection,0.682,,0.0
SRV,2,alternative,reference,omega,Diversifying selection,1.28,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.269,,100.0
SRV,2,alternative,reference,omega,Negative selection,0.724,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1205.844,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.28,,0.0
SRV,2,alternative,test,omega,Negative selection,0.0,,100.0
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.269,,100.0
SRV,2,alternative,test,omega,Negative selection,0.724,,0.0
SRV,2,null,reference,omega,Diversifying selection,3.054,,0.0
SRV,2,null,reference,omega,Negative selection,0.266,,100.0
SRV,2,null,reference,omega,Negative selection,0.578,,0.0
SRV,2,null,test,omega,Diversifying selection,3.054,,0.0
SRV,2,null,test,omega,Negative selection,0.266,,100.0
SRV,2,null,test,omega,Negative selection,0.578,,0.0
SRV,3,alternative,reference,omega,Diversifying selection,3.8,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.269,,100.0
SRV,3,alternative,reference,omega,Negative selection,0.798,,0.0
SRV,3,alternative,test,omega,Diversifying selection,3.8,,0.0
SRV,3,alternative,test,omega,Negative selection,0.0,,100.0
SRV,3,alternative,test,omega,Negative selection,0.022,,0.0
SRV,3,alternative,test,omega,Negative selection,0.269,,100.0
SRV,3,alternative,test,omega,Negative selection,0.798,,0.0
SRV,3,null,reference,omega,Diversifying selection,1.247,,0.0
SRV,3,null,reference,omega,Negative selection,0.266,,100.0
SRV,3,null,reference,omega,Negative selection,0.638,,0.0
SRV,3,null,test,omega,Diversifying selection,1.247,,0.0
SRV,3,null,test,omega,Negative selection,0.266,,100.0
SRV,3,null,test,omega,Negative selection,0.638,,0.0
SRV,4,alternative,reference,omega,Diversifying selection,3.882,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.269,,100.0
SRV,4,alternative,reference,omega,Negative selection,0.827,,0.0
SRV,4,alternative,test,omega,Diversifying selection,3.882,,0.0
SRV,4,alternative,test,omega,Negative selection,0.0,,100.0
SRV,4,alternative,test,omega,Negative selection,0.041,,0.0
SRV,4,alternative,test,omega,Negative selection,0.269,,100.0
SRV,4,alternative,test,omega,Negative selection,0.827,,0.0
SRV,4,null,reference,omega,Diversifying selection,1.266,,0.0
SRV,4,null,reference,omega,Negative selection,0.266,,100.0
SRV,4,null,reference,omega,Negative selection,0.66,,0.0
SRV,4,null,test,omega,Diversifying selection,1.266,,0.0
SRV,4,null,test,omega,Negative selection,0.266,,100.0
SRV,4,null,test,omega,Negative selection,0.66,,0.0
SRV,5,alternative,reference,omega,Diversifying selection,4.729,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.269,,100.0
SRV,5,alternative,reference,omega,Negative selection,0.505,,0.0
SRV,5,alternative,test,omega,Diversifying selection,4.729,,0.0
SRV,5,alternative,test,omega,Negative selection,0.0,,100.0
SRV,5,alternative,test,omega,Negative selection,0.0,,0.0
SRV,5,alternative,test,omega,Negative selection,0.269,,100.0
SRV,5,alternative,test,omega,Negative selection,0.505,,0.0
SRV,5,null,reference,omega,Diversifying selection,1.455,,0.0
SRV,5,null,reference,omega,Negative selection,0.266,,100.0
SRV,5,null,reference,omega,Negative selection,0.404,,0.0
SRV,5,null,test,omega,Diversifying selection,1.455,,0.0
SRV,5,null,test,omega,Negative selection,0.266,,100.0
SRV,5,null,test,omega,Negative selection,0.404,,0.0
SRV,6,alternative,reference,omega,Diversifying selection,2.846,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.003,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.27,,100.0
SRV,6,alternative,test,omega,Diversifying selection,2.846,,0.0
SRV,6,alternative,test,omega,Negative selection,0.0,,0.0
SRV,6,alternative,test,omega,Negative selection,0.0,,100.0
SRV,6,alternative,test,omega,Negative selection,0.003,,0.0
SRV,6,alternative,test,omega,Negative selection,0.27,,100.0
SRV,6,null,reference,omega,Diversifying selection,1.009,,0.0
SRV,6,null,reference,omega,Negative selection,0.001,,0.0
SRV,6,null,reference,omega,Negative selection,0.266,,100.0
SRV,6,null,test,omega,Diversifying selection,1.009,,0.0
SRV,6,null,test,omega,Negative selection,0.001,,0.0
SRV,6,null,test,omega,Negative selection,0.266,,100.0
SRV,7,alternative,reference,omega,Diversifying selection,3.369,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.001,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.269,,100.0
SRV,7,alternative,test,omega,Diversifying selection,3.369,,0.0
SRV,7,alternative,test,omega,Negative selection,0.0,,0.0
SRV,7,alternative,test,omega,Negative selection,0.0,,100.0
SRV,7,alternative,test,omega,Negative selection,0.001,,0.0
SRV,7,alternative,test,omega,Negative selection,0.269,,100.0
SRV,7,null,reference,omega,Diversifying selection,1.143,,0.0
SRV,7,null,reference,omega,Negative selection,0.003,,0.0
SRV,7,null,reference,omega,Negative selection,0.266,,100.0
SRV,7,null,test,omega,Diversifying selection,1.143,,0.0
SRV,7,null,test,omega,Negative selection,0.003,,0.0
SRV,7,null,test,omega,Negative selection,0.266,,100.0
SRV,8,alternative,reference,omega,Diversifying selection,4.687,,0.0
SRV,8,alternative,reference,omega,Negative selection,0.116,,0.0
SRV,8,alternative,reference,omega,Negative selection,0.27,,100.0
SRV,8,alternative,test,omega,Diversifying selection,4.687,,0.0
SRV,8,alternative,test,omega,Negative selection,0.0,,0.0
SRV,8,alternative,test,omega,Negative selection,0.0,,100.0
