run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,5.206,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.145,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.284,,100.0
SRV,1,alternative,test,omega,Diversifying selection,17.638,,0.0
SRV,1,alternative,test,omega,Diversifying selection,5.206,,0.0
SRV,1,alternative,test,omega,Negative selection,0.035,,0.0
SRV,1,alternative,test,omega,Negative selection,0.112,,100.0
SRV,1,alternative,test,omega,Negative selection,0.145,,0.0
SRV,1,alternative,test,omega,Negative selection,0.284,,100.0
SRV,1,null,reference,omega,Diversifying selection,1.144,,0.0
SRV,1,null,reference,omega,Negative selection,0.221,,2.048
SRV,1,null,reference,omega,Negative selection,0.268,,97.952
SRV,1,null,test,omega,Diversifying selection,1.144,,0.0
SRV,1,null,test,omega,Negative selection,0.221,,2.048
SRV,1,null,test,omega,Negative selection,0.268,,97.952
SRV,2,alternative,reference,omega,Diversifying selection,4.012,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.283,,100.0
SRV,2,alternative,test,omega,Diversifying selection,11.051,,0.0
SRV,2,alternative,test,omega,Diversifying selection,4.012,,0.0
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.113,,100.0
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.283,,100.0
SRV,2,null,reference,omega,Diversifying selection,1.143,,0.0
SRV,2,null,reference,omega,Negative selection,0.002,,0.0
SRV,2,null,reference,omega,Negative selection,0.266,,100.0
SRV,2,null,test,omega,Diversifying selection,1.143,,0.0
SRV,2,null,test,omega,Negative selection,0.002,,0.0
SRV,2,null,test,omega,Negative selection,0.266,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,3.916,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.283,,100.0
SRV,3,alternative,test,omega,Diversifying selection,10.655,,0.0
SRV,3,alternative,test,omega,Diversifying selection,3.916,,0.0
SRV,3,alternative,test,omega,Negative selection,0.0,,0.0
SRV,3,alternative,test,omega,Negative selection,0.112,,100.0
SRV,3,alternative,test,omega,Negative selection,0.0,,0.0
SRV,3,alternative,test,omega,Negative selection,0.283,,100.0
SRV,3,null,reference,omega,Diversifying selection,1.107,,0.0
SRV,3,null,reference,omega,Negative selection,0.002,,0.0
SRV,3,null,reference,omega,Negative selection,0.267,,100.0
SRV,3,null,test,omega,Diversifying selection,1.107,,0.0
SRV,3,null,test,omega,Negative selection,0.002,,0.0
SRV,3,null,test,omega,Negative selection,0.267,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,4.839,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.283,,100.0
SRV,4,alternative,test,omega,Diversifying selection,15.36,,0.0
SRV,4,alternative,test,omega,Diversifying selection,4.839,,0.0
SRV,4,alternative,test,omega,Negative selection,0.0,,0.0
SRV,4,alternative,test,omega,Negative selection,0.112,,100.0
SRV,4,alternative,test,omega,Negative selection,0.0,,0.0
SRV,4,alternative,test,omega,Negative selection,0.283,,100.0
SRV,4,null,reference,omega,Diversifying selection,1.307,,0.0
SRV,4,null,reference,omega,Negative selection,0.002,,0.0
SRV,4,null,reference,omega,Negative selection,0.267,,100.0
SRV,4,null,test,omega,Diversifying selection,1.307,,0.0
SRV,4,null,test,omega,Negative selection,0.002,,0.0
SRV,4,null,test,omega,Negative selection,0.267,,100.0
SRV,5,alternative,reference,omega,Diversifying selection,4.604,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.283,,100.0
SRV,5,alternative,test,omega,Diversifying selection,14.189,,0.0
SRV,5,alternative,test,omega,Diversifying selection,4.604,,0.0
SRV,5,alternative,test,omega,Negative selection,0.0,,0.0
SRV,5,alternative,test,omega,Negative selection,0.112,,100.0
SRV,5,alternative,test,omega,Negative selection,0.0,,0.0
SRV,5,alternative,test,omega,Negative selection,0.283,,100.0
SRV,5,null,reference,omega,Diversifying selection,1.23,,0.0
SRV,5,null,reference,omega,Negative selection,0.002,,0.0
SRV,5,null,reference,omega,Negative selection,0.266,,100.0
SRV,5,null,test,omega,Diversifying selection,1.23,,0.0
SRV,5,null,test,omega,Negative selection,0.002,,0.0
SRV,5,null,test,omega,Negative selection,0.266,,100.0
SRV,6,alternative,reference,omega,Diversifying selection,3.568,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.283,,100.0
SRV,6,alternative,test,omega,Diversifying selection,9.063,,0.0
SRV,6,alternative,test,omega,Diversifying selection,3.568,,0.0
SRV,6,alternative,test,omega,Negative selection,0.0,,0.0
SRV,6,alternative,test,omega,Negative selection,0.112,,100.0
SRV,6,alternative,test,omega,Negative selection,0.0,,0.0
SRV,6,alternative,test,omega,Negative selection,0.283,,100.0
SRV,6,null,reference,omega,Diversifying selection,1.236,,0.0
SRV,6,null,reference,omega,Negative selection,0.002,,0.0
SRV,6,null,reference,omega,Negative selection,0.266,,100.0
SRV,6,null,test,omega,Diversifying selection,1.236,,0.0
SRV,6,null,test,omega,Negative selection,0.002,,0.0
SRV,6,null,test,omega,Negative selection,0.266,,100.0
SRV,7,alternative,reference,omega,Diversifying selection,2.821,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.001,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.284,,100.0
SRV,7,alternative,test,omega,Diversifying selection,6.06,,0.0
SRV,7,alternative,test,omega,Diversifying selection,2.821,,0.0
SRV,7,alternative,test,omega,Negative selection,0.0,,0.0
SRV,7,alternative,test,omega,Negative selection,0.112,,100.0
SRV,7,alternative,test,omega,Negative selection,0.001,,0.0
SRV,7,alternative,test,omega,Negative selection,0.284,,100.0
SRV,7,null,reference,omega,Diversifying selection,1.119,,0.0
SRV,7,null,reference,omega,Negative selection,0.003,,0.0
SRV,7,null,reference,omega,Negative selection,0.266,,100.0
SRV,7,null,test,omega,Diversifying selection,1.119,,0.0
SRV,7,null,test,omega,Negative selection,0.003,,0.0
SRV,7,null,test,omega,Negative selection,0.266,,100.0
SRV,8,alternative,reference,omega,Diversifying selection,3.871,,0.0
SRV,8,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,8,alternative,reference,omega,Negative selection,0.283,,100.0
SRV,8,alternative,test,omega,Diversifying selection,10.397,,0.0
SRV,8,alternative,test,omega,Diversifying selection,3.871,,0.0
SRV,8,alternative,test,omega,Negative selection,0.0,,0.0
SRV,8,alternative,test,omega,Negative selection,0.113,,100.0
SRV,8,alternative,test,omega,Negative selection,0.0,,0.0
SRV,8,alternative,test,omega,Negative selection,0.283,,100.0
SRV,8,null,reference,omega,Diversifying selection,1.093,,0.0
SRV,8,null,reference,omega,Negative selection,0.002,,0.0
SRV,8,null,reference,omega,Negative selection,0.266,,100.0
SRV,8,null,test,omega,Diversifying selection,1.093,,0.0
SRV,8,null,test,omega,Negative selection,0.002,,0.0
SRV,8,null,test,omega,Negative selection,0.266,,100.0
SRV,9,alternative,reference,omega,Diversifying selection,1.007,,0.0
SRV,9,alternative,reference,omega,Negative selection,0.283,,100.0
SRV,9,alternative,reference,omega,Negative selection,0.467,,0.0
SRV,9,alternative,test,omega,Diversifying selection,1.013,,0.0
SRV,9,alternative,test,omega,Diversifying selection,1.007,,0.0
SRV,9,alternative,test,omega,Negative selection,0.113,,100.0
SRV,9,alternative,test,omega,Negative selection,0.269,,0.0
SRV,9,alternative,test,omega,Negative selection,0.283,,100.0
SRV,9,alternative,test,omega,Negative selection,0.467,,0.0
SRV,9,null,reference,omega,Diversifying selection,2.135,,0.0
SRV,9,null,reference,omega,Negative selection,0.266,,100.0
SRV,9,null,reference,omega,Negative selection,0.368,,0.0
SRV,9,null,test,omega,Diversifying selection,2.135,,0.0
SRV,9,null,test,omega,Negative selection,0.266,,100.0
SRV,9,null,test,omega,Negative selection,0.368,,0.0
SRV,10,alternative,reference,omega,Diversifying selection,2.04,,0.0
SRV,10,alternative,reference,omega,Negative selection,0.235,,19.502
SRV,10,alternative,reference,omega,Negative selection,0.296,,80.498
SRV,10,alternative,test,omega,Diversifying selection,3.764,,0.0
SRV,10,alternative,test,omega,Diversifying selection,2.04,,0.0
SRV,10,alternative,test,omega,Negative selection,0.104,,80.498
SRV,10,alternative,test,omega,Negative selection,0.148,,19.502
SRV,10,alternative,test,omega,Negative selection,0.235,,19.502
SRV,10,alternative,test,omega,Negative selection,0.296,,80.498
SRV,10,null,reference,omega,Diversifying selection,4.426,,0.0
SRV,10,null,reference,omega,Negative selection,0.277,,62.605
SRV,10,null,reference,omega,Negative selection,0.292,,37.395
SRV,10,null,test,omega,Diversifying selection,4.426,,0.0
SRV,10,null,test,omega,Negative selection,0.277,,62.605
SRV,10,null,test,omega,Negative selection,0.292,,37.395
SRV+Double,1,alternative,reference,omega,Diversifying selection,5.197,,0.0
SRV+Double,1,alternative,reference,omega,Negative selection,0.0,,0.0
SRV+Double,1,alternative,reference,omega,Negative selection,0.284,,100.0
SRV+Double,1,alternative,test,omega,Diversifying selection,17.284,,0.0
SRV+Double,1,alternative,test,omega,Diversifying selection,5.197,,0.0
SRV+Double,1,alternative,test,omega,Negative selection,0.0,,0.0
SRV+Double,1,alternative,test,omega,Negative selection,0.113,,100.0
SRV+Double,1,alternative,test,omega,Negative selection,0.0,,0.0
SRV+Double,1,alternative,test,omega,Negative selection,0.284,,100.0
SRV+Double,1,null,reference,omega,Diversifying selection,1.348,,0.0
SRV+Double,1,null,reference,omega,Negative selection,0.002,,0.0
SRV+Double,1,null,reference,omega,Negative selection,0.266,,100.0
SRV+Double,1,null,test,omega,Diversifying selection,1.348,,0.0
SRV+Double,1,null,test,omega,Negative selection,0.002,,0.0
SRV+Double,1,null,test,omega,Negative selection,0.266,,100.0
SRV+Double,2,alternative,reference,omega,Diversifying selection,5.274,,0.0
SRV+Double,2,alternative,reference,omega,Negative selection,0.001,,0.0
SRV+Double,2,alternative,reference,omega,Negative selection,0.283,,100.0
SRV+Double,2,alternative,test,omega,Diversifying selection,17.729,,0.0
SRV+Double,2,alternative,test,omega,Diversifying selection,5.274,,0.0
SRV+Double,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV+Double,2,alternative,test,omega,Negative selection,0.113,,100.0
SRV+Double,2,alternative,test,omega,Negative selection,0.001,,0.0
SRV+Double,2,alternative,test,omega,Negative selection,0.283,,100.0
SRV+Double,2,null,reference,omega,Diversifying selection,1.303,,0.0
SRV+Double,2,null,reference,omega,Negative selection,0.003,,0.0
SRV+Double,2,null,reference,omega,Negative selection,0.266,,100.0
SRV+Double,2,null,test,omega,Diversifying selection,1.303,,0.0
SRV+Double,2,null,test,omega,Negative selection,0.003,,0.0
SRV+Double,2,null,test,omega,Negative selection,0.266,,100.0
SRV+Double,3,alternative,reference,omega,Diversifying selection,5.156,,0.0
SRV+Double,3,alternative,reference,omega,Negative selection,0.0,,0.0
SRV+Double,3,alternative,reference,omega,Negative selection,0.283,,100.0
SRV+Double,3,alternative,test,omega,Diversifying selection,17.012,,0.0
SRV+Double,3,alternative,test,omega,Diversifying selection,5.156,,0.0
SRV+Double,3,alternative,test,omega,Negative selection,0.0,,0.0
SRV+Double,3,alternative,test,omega,Negative selection,0.113,,100.0
SRV+Double,3,alternative,test,omega,Negative selection,0.0,,0.0
SRV+Double,3,alternative,test,omega,Negative selection,0.283,,100.0
SRV+Double,3,null,reference,omega,Diversifying selection,1.35,,0.0
SRV+Double,3,null,reference,omega,Negative selection,0.002,,0.0
SRV+Double,3,null,reference,omega,Negative selection,0.266,,100.0
SRV+Double,3,null,test,omega,Diversifying selection,1.35,,0.0
SRV+Double,3,null,test,omega,Negative selection,0.002,,0.0
SRV+Double,3,null,test,omega,Negative selection,0.266,,100.0
SRV+Double,4,alternative,reference,omega,Diversifying selection,2.51,,0.0
SRV+Double,4,alternative,reference,omega,Negative selection,0.283,,100.0
SRV+Double,4,alternative,reference,omega,Negative selection,0.417,,0.0
SRV+Double,4,alternative,test,omega,Diversifying selection,4.916,,0.0
SRV+Double,4,alternative,test,omega,Diversifying selection,2.51,,0.0
SRV+Double,4,alternative,test,omega,Negative selection,0.112,,100.0
SRV+Double,4,alternative,test,omega,Negative selection,0.22,,0.0
SRV+Double,4,alternative,test,omega,Negative selection,0.283,,100.0
SRV+Double,4,alternative,test,omega,Negative selection,0.417,,0.0
SRV+Double,4,null,reference,omega,Diversifying selection,6.643,,0.0
SRV+Double,4,null,reference,omega,Negative selection,0.266,,100.0
SRV+Double,4,null,reference,omega,Negative selection,0.324,,0.0
SRV+Double,4,null,test,omega,Diversifying selection,6.643,,0.0
SRV+Double,4,null,test,omega,Negative selection,0.266,,100.0
SRV+Double,4,null,test,omega,Negative selection,0.324,,0.0
SRV+Double,5,alternative,reference,omega,Diversifying selection,6.088,,0.0
SRV+Double,5,alternative,reference,omega,Negative selection,0.0,,0.0
SRV+Double,5,alternative,reference,omega,Negative selection,0.283,,100.0
SRV+Double,5,alternative,test,omega,Diversifying selection,22.787,,0.0
SRV+Double,5,alternative,test,omega,Diversifying selection,6.088,,0.0
SRV+Double,5,alternative,test,omega,Negative selection,0.0,,0.0
SRV+Double,5,alternative,test,omega,Negative selection,0.113,,100.0
SRV+Double,5,alternative,test,omega,Negative selection,0.0,,0.0
SRV+Double,5,alternative,test,omega,Negative selection,0.283,,100.0
SRV+Double,5,null,reference,omega,Diversifying selection,1.515,,0.0
SRV+Double,5,null,reference,omega,Negative selection,0.002,,0.0
SRV+Double,5,null,reference,omega,Negative selection,0.266,,100.0
