replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,,,,,,,,,,,
2,SRV,,,,,,,,,,,
3,SRV,,,,,,,,,,,
4,SRV,,,,,,,,,,,
5,SRV,,,,,,,,,,,
6,SRV,,,,,,,,,,,
7,SRV,,,,,,,,,,,
8,SRV,,,,,,,,,,,
9,SRV,,,,,,,,,,,
10,SRV,,,,,,,,,,,
1,SRV+Double,,,,,,,,,,,
2,SRV+Double,,,,,,,,,,,
3,SRV+Double,,,,,,,,,,,
4,SRV+Double,,,,,,,,,,,
5,SRV+Double,,,,,,,,,,,
6,SRV+Double,,,,,,,,,,,
7,SRV+Double,,,,,,,,,,,
8,SRV+Double,,,,,,,,,,,
9,SRV+Double,,,,,,,,,,,
10,SRV+Double,,,,,,,,,,,
1,SRV+Double+Triple,,,,,,,,,,,
2,SRV+Double+Triple,,,,,,,,,,,
3,SRV+Double+Triple,,,,,,,,,,,
4,SRV+Double+Triple,,,,,,,,,,,
5,SRV+Double+Triple,,,,,,,,,,,
6,SRV+Double+Triple,,,,,,,,,,,
7,SRV+Double+Triple,,,,,,,,,,,
8,SRV+Double+Triple,,,,,,,,,,,
9,SRV+Double+Triple,,,,,,,,,,,
10,SRV+Double+Triple,,,,,,,,,,,
