model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,6.276,0.0,SRV,1
alternative,reference,Negative selection,0.256,100.0,SRV,1
alternative,reference,Negative selection,0.957,0.0,SRV,1
alternative,test,Diversifying selection,2.313,0.0,SRV,1
alternative,test,Diversifying selection,6.276,0.0,SRV,1
alternative,test,Negative selection,0.537,100.0,SRV,1
alternative,test,Negative selection,0.954,0.0,SRV,1
alternative,test,Negative selection,0.256,100.0,SRV,1
alternative,test,Negative selection,0.957,0.0,SRV,1
null,reference,Diversifying selection,1.55,0.0,SRV,1
null,reference,Diversifying selection,1.926,0.0,SRV,1
null,reference,Negative selection,0.268,100.0,SRV,1
null,test,Diversifying selection,1.55,0.0,SRV,1
null,test,Diversifying selection,1.926,0.0,SRV,1
null,test,Negative selection,0.268,100.0,SRV,1
alternative,reference,Diversifying selection,3.545,0.0,SRV,2
alternative,reference,Negative selection,0.0,0.0,SRV,2
alternative,reference,Negative selection,0.255,100.0,SRV,2
alternative,test,Diversifying selection,1.961,0.0,SRV,2
alternative,test,Diversifying selection,3.545,0.0,SRV,2
alternative,test,Negative selection,0.004,0.0,SRV,2
alternative,test,Negative selection,0.483,100.0,SRV,2
alternative,test,Negative selection,0.0,0.0,SRV,2
alternative,test,Negative selection,0.255,100.0,SRV,2
null,reference,Diversifying selection,1.22,0.0,SRV,2
null,reference,Negative selection,0.002,0.0,SRV,2
null,reference,Negative selection,0.265,100.0,SRV,2
null,test,Diversifying selection,1.22,0.0,SRV,2
null,test,Negative selection,0.002,0.0,SRV,2
null,test,Negative selection,0.265,100.0,SRV,2
alternative,reference,Diversifying selection,5.723,0.0,SRV,3
alternative,reference,Negative selection,0.002,0.0,SRV,3
alternative,reference,Negative selection,0.256,100.0,SRV,3
alternative,test,Diversifying selection,2.541,0.0,SRV,3
alternative,test,Diversifying selection,5.723,0.0,SRV,3
alternative,test,Negative selection,0.035,0.0,SRV,3
alternative,test,Negative selection,0.483,100.0,SRV,3
alternative,test,Negative selection,0.002,0.0,SRV,3
alternative,test,Negative selection,0.256,100.0,SRV,3
null,reference,Diversifying selection,1.455,0.0,SRV,3
null,reference,Negative selection,0.004,0.0,SRV,3
null,reference,Negative selection,0.265,100.0,SRV,3
null,test,Diversifying selection,1.455,0.0,SRV,3
null,test,Negative selection,0.004,0.0,SRV,3
null,test,Negative selection,0.265,100.0,SRV,3
alternative,reference,Diversifying selection,6.705,0.0,SRV,4
alternative,reference,Negative selection,0.003,0.0,SRV,4
alternative,reference,Negative selection,0.256,100.0,SRV,4
alternative,test,Diversifying selection,2.757,0.0,SRV,4
alternative,test,Diversifying selection,6.705,0.0,SRV,4
alternative,test,Negative selection,0.046,0.0,SRV,4
alternative,test,Negative selection,0.484,100.0,SRV,4
alternative,test,Negative selection,0.003,0.0,SRV,4
alternative,test,Negative selection,0.256,100.0,SRV,4
null,reference,Diversifying selection,1.736,0.0,SRV,4
null,reference,Negative selection,0.001,0.0,SRV,4
null,reference,Negative selection,0.265,100.0,SRV,4
null,test,Diversifying selection,1.736,0.0,SRV,4
null,test,Negative selection,0.001,0.0,SRV,4
null,test,Negative selection,0.265,100.0,SRV,4
alternative,reference,Diversifying selection,1.044,0.0,SRV,5
alternative,reference,Negative selection,0.255,100.0,SRV,5
alternative,reference,Negative selection,0.96,0.0,SRV,5
alternative,test,Diversifying selection,1.023,0.0,SRV,5
alternative,test,Diversifying selection,1.044,0.0,SRV,5
alternative,test,Negative selection,0.481,100.0,SRV,5
alternative,test,Negative selection,0.978,0.0,SRV,5
alternative,test,Negative selection,0.255,100.0,SRV,5
alternative,test,Negative selection,0.96,0.0,SRV,5
null,reference,Diversifying selection,1.798,0.0,SRV,5
null,reference,Negative selection,0.265,100.0,SRV,5
null,reference,Negative selection,0.455,0.0,SRV,5
null,test,Diversifying selection,1.798,0.0,SRV,5
null,test,Negative selection,0.265,100.0,SRV,5
null,test,Negative selection,0.455,0.0,SRV,5
alternative,reference,Diversifying selection,3.702,0.0,SRV,6
alternative,reference,Negative selection,0.0,0.0,SRV,6
alternative,reference,Negative selection,0.255,100.0,SRV,6
alternative,test,Diversifying selection,2.005,0.0,SRV,6
alternative,test,Diversifying selection,3.702,0.0,SRV,6
alternative,test,Negative selection,0.006,0.0,SRV,6
alternative,test,Negative selection,0.484,100.0,SRV,6
alternative,test,Negative selection,0.0,0.0,SRV,6
alternative,test,Negative selection,0.255,100.0,SRV,6
null,reference,Diversifying selection,1.259,0.0,SRV,6
null,reference,Negative selection,0.002,0.0,SRV,6
null,reference,Negative selection,0.265,100.0,SRV,6
null,test,Diversifying selection,1.259,0.0,SRV,6
null,test,Negative selection,0.002,0.0,SRV,6
null,test,Negative selection,0.265,100.0,SRV,6
alternative,reference,Diversifying selection,5.773,0.0,SRV,7
alternative,reference,Negative selection,0.003,0.0,SRV,7
alternative,reference,Negative selection,0.256,100.0,SRV,7
alternative,test,Diversifying selection,2.542,0.0,SRV,7
alternative,test,Diversifying selection,5.773,0.0,SRV,7
alternative,test,Negative selection,0.048,0.0,SRV,7
alternative,test,Negative selection,0.484,100.0,SRV,7
alternative,test,Negative selection,0.003,0.0,SRV,7
alternative,test,Negative selection,0.256,100.0,SRV,7
null,reference,Diversifying selection,1.534,0.0,SRV,7
null,reference,Negative selection,0.001,0.0,SRV,7
null,reference,Negative selection,0.266,100.0,SRV,7
null,test,Diversifying selection,1.534,0.0,SRV,7
null,test,Negative selection,0.001,0.0,SRV,7
null,test,Negative selection,0.266,100.0,SRV,7
alternative,reference,Diversifying selection,3.039,0.0,SRV,8
alternative,reference,Negative selection,0.0,0.0,SRV,8
alternative,reference,Negative selection,0.255,100.0,SRV,8
alternative,test,Diversifying selection,1.809,0.0,SRV,8
alternative,test,Diversifying selection,3.039,0.0,SRV,8
alternative,test,Negative selection,0.002,0.0,SRV,8
alternative,test,Negative selection,0.483,100.0,SRV,8
alternative,test,Negative selection,0.0,0.0,SRV,8
alternative,test,Negative selection,0.255,100.0,SRV,8
null,reference,Diversifying selection,1.145,0.0,SRV,8
null,reference,Negative selection,0.002,0.0,SRV,8
null,reference,Negative selection,0.265,100.0,SRV,8
null,test,Diversifying selection,1.145,0.0,SRV,8
null,test,Negative selection,0.002,0.0,SRV,8
null,test,Negative selection,0.265,100.0,SRV,8
alternative,reference,Diversifying selection,2.796,0.0,SRV,9
alternative,reference,Negative selection,0.0,0.0,SRV,9
alternative,reference,Negative selection,0.255,100.0,SRV,9
alternative,test,Diversifying selection,1.73,0.0,SRV,9
alternative,test,Diversifying selection,2.796,0.0,SRV,9
alternative,test,Negative selection,0.004,0.0,SRV,9
alternative,test,Negative selection,0.483,100.0,SRV,9
alternative,test,Negative selection,0.0,0.0,SRV,9
alternative,test,Negative selection,0.255,100.0,SRV,9
null,reference,Diversifying selection,1.185,0.0,SRV,9
null,reference,Negative selection,0.001,0.0,SRV,9
null,reference,Negative selection,0.265,100.0,SRV,9
null,test,Diversifying selection,1.185,0.0,SRV,9
null,test,Negative selection,0.001,0.0,SRV,9
null,test,Negative selection,0.265,100.0,SRV,9
alternative,reference,Diversifying selection,6.329,0.0,SRV,10
alternative,reference,Negative selection,0.001,0.0,SRV,10
alternative,reference,Negative selection,0.256,100.0,SRV,10
alternative,test,Diversifying selection,2.687,0.0,SRV,10
alternative,test,Diversifying selection,6.329,0.0,SRV,10
alternative,test,Negative selection,0.018,0.0,SRV,10
alternative,test,Negative selection,0.482,100.0,SRV,10
alternative,test,Negative selection,0.001,0.0,SRV,10
alternative,test,Negative selection,0.256,100.0,SRV,10
null,reference,Diversifying selection,1.623,0.0,SRV,10
null,reference,Negative selection,0.003,0.0,SRV,10
null,reference,Negative selection,0.266,100.0,SRV,10
null,test,Diversifying selection,1.623,0.0,SRV,10
null,test,Negative selection,0.003,0.0,SRV,10
null,test,Negative selection,0.266,100.0,SRV,10
alternative,reference,Diversifying selection,3.573,0.0,SRV+Double,1
alternative,reference,Negative selection,0.0,0.0,SRV+Double,1
alternative,reference,Negative selection,0.255,100.0,SRV+Double,1
alternative,test,Diversifying selection,1.974,0.0,SRV+Double,1
alternative,test,Diversifying selection,3.573,0.0,SRV+Double,1
alternative,test,Negative selection,0.002,0.0,SRV+Double,1
alternative,test,Negative selection,0.482,100.0,SRV+Double,1
alternative,test,Negative selection,0.0,0.0,SRV+Double,1
alternative,test,Negative selection,0.255,100.0,SRV+Double,1
null,reference,Diversifying selection,1.292,0.0,SRV+Double,1
null,reference,Negative selection,0.002,0.0,SRV+Double,1
null,reference,Negative selection,0.265,100.0,SRV+Double,1
null,test,Diversifying selection,1.292,0.0,SRV+Double,1
null,test,Negative selection,0.002,0.0,SRV+Double,1
null,test,Negative selection,0.265,100.0,SRV+Double,1
alternative,reference,Diversifying selection,4.218,0.0,SRV+Double,2
alternative,reference,Negative selection,0.0,0.0,SRV+Double,2
alternative,reference,Negative selection,0.255,100.0,SRV+Double,2
alternative,test,Diversifying selection,2.151,0.0,SRV+Double,2
alternative,test,Diversifying selection,4.218,0.0,SRV+Double,2
alternative,test,Negative selection,0.003,0.0,SRV+Double,2
alternative,test,Negative selection,0.483,100.0,SRV+Double,2
alternative,test,Negative selection,0.0,0.0,SRV+Double,2
alternative,test,Negative selection,0.255,100.0,SRV+Double,2
null,reference,Diversifying selection,1.241,0.0,SRV+Double,2
null,reference,Negative selection,0.002,0.0,SRV+Double,2
null,reference,Negative selection,0.265,100.0,SRV+Double,2
null,test,Diversifying selection,1.241,0.0,SRV+Double,2
null,test,Negative selection,0.002,0.0,SRV+Double,2
null,test,Negative selection,0.265,100.0,SRV+Double,2
alternative,reference,Diversifying selection,3.084,0.0,SRV+Double,3
alternative,reference,Negative selection,0.0,0.0,SRV+Double,3
alternative,reference,Negative selection,0.255,100.0,SRV+Double,3
alternative,test,Diversifying selection,1.825,0.0,SRV+Double,3
alternative,test,Diversifying selection,3.084,0.0,SRV+Double,3
alternative,test,Negative selection,0.005,0.0,SRV+Double,3
alternative,test,Negative selection,0.482,100.0,SRV+Double,3
alternative,test,Negative selection,0.0,0.0,SRV+Double,3
alternative,test,Negative selection,0.255,100.0,SRV+Double,3
null,reference,Diversifying selection,1.158,0.0,SRV+Double,3
null,reference,Negative selection,0.002,0.0,SRV+Double,3
null,reference,Negative selection,0.265,100.0,SRV+Double,3
null,test,Diversifying selection,1.158,0.0,SRV+Double,3
null,test,Negative selection,0.002,0.0,SRV+Double,3
null,test,Negative selection,0.265,100.0,SRV+Double,3
alternative,reference,Diversifying selection,2.019,0.0,SRV+Double,4
alternative,reference,Negative selection,0.255,100.0,SRV+Double,4
alternative,reference,Negative selection,0.864,0.0,SRV+Double,4
alternative,test,Diversifying selection,1.454,0.0,SRV+Double,4
alternative,test,Diversifying selection,2.019,0.0,SRV+Double,4
alternative,test,Negative selection,0.483,100.0,SRV+Double,4
alternative,test,Negative selection,0.925,0.0,SRV+Double,4
alternative,test,Negative selection,0.255,100.0,SRV+Double,4
alternative,test,Negative selection,0.864,0.0,SRV+Double,4
null,reference,Diversifying selection,4.368,0.0,SRV+Double,4
null,reference,Negative selection,0.265,98.235,SRV+Double,4
null,reference,Negative selection,0.27,1.765,SRV+Double,4
null,test,Diversifying selection,4.368,0.0,SRV+Double,4
null,test,Negative selection,0.265,98.235,SRV+Double,4
null,test,Negative selection,0.27,1.765,SRV+Double,4
alternative,reference,Diversifying selection,2.265,0.0,SRV+Double,5
alternative,reference,Negative selection,0.255,100.0,SRV+Double,5
alternative,reference,Negative selection,0.915,0.0,SRV+Double,5
alternative,test,Diversifying selection,1.546,0.0,SRV+Double,5
alternative,test,Diversifying selection,2.265,0.0,SRV+Double,5
alternative,test,Negative selection,0.483,100.0,SRV+Double,5
alternative,test,Negative selection,0.954,0.0,SRV+Double,5
alternative,test,Negative selection,0.255,100.0,SRV+Double,5
alternative,test,Negative selection,0.915,0.0,SRV+Double,5
null,reference,Diversifying selection,5.494,0.0,SRV+Double,5
null,reference,Negative selection,0.264,54.839,SRV+Double,5
null,reference,Negative selection,0.267,45.161,SRV+Double,5
null,test,Diversifying selection,5.494,0.0,SRV+Double,5
null,test,Negative selection,0.264,54.839,SRV+Double,5
null,test,Negative selection,0.267,45.161,SRV+Double,5
alternative,reference,Diversifying selection,3.397,0.0,SRV+Double,6
alternative,reference,Negative selection,0.255,100.0,SRV+Double,6
alternative,reference,Negative selection,0.837,0.0,SRV+Double,6
alternative,test,Diversifying selection,1.922,0.0,SRV+Double,6
alternative,test,Diversifying selection,3.397,0.0,SRV+Double,6
alternative,test,Negative selection,0.482,100.0,SRV+Double,6
alternative,test,Negative selection,0.909,0.0,SRV+Double,6
alternative,test,Negative selection,0.255,100.0,SRV+Double,6
alternative,test,Negative selection,0.837,0.0,SRV+Double,6
null,reference,Diversifying selection,1.206,0.0,SRV+Double,6
null,reference,Negative selection,0.266,100.0,SRV+Double,6
null,reference,Negative selection,0.65,0.0,SRV+Double,6
null,test,Diversifying selection,1.206,0.0,SRV+Double,6
null,test,Negative selection,0.266,100.0,SRV+Double,6
null,test,Negative selection,0.65,0.0,SRV+Double,6
alternative,reference,Diversifying selection,7.544,0.0,SRV+Double,7
alternative,reference,Negative selection,0.006,0.0,SRV+Double,7
alternative,reference,Negative selection,0.256,100.0,SRV+Double,7
alternative,test,Diversifying selection,2.951,0.0,SRV+Double,7
alternative,test,Diversifying selection,7.544,0.0,SRV+Double,7
alternative,test,Negative selection,0.065,0.0,SRV+Double,7
alternative,test,Negative selection,0.482,100.0,SRV+Double,7
alternative,test,Negative selection,0.006,0.0,SRV+Double,7
alternative,test,Negative selection,0.256,100.0,SRV+Double,7
null,reference,Diversifying selection,1.728,0.0,SRV+Double,7
null,reference,Negative selection,0.004,0.0,SRV+Double,7
null,reference,Negative selection,0.266,100.0,SRV+Double,7
null,test,Diversifying selection,1.728,0.0,SRV+Double,7
null,test,Negative selection,0.004,0.0,SRV+Double,7
null,test,Negative selection,0.266,100.0,SRV+Double,7
alternative,reference,Diversifying selection,7.003,0.0,SRV+Double,8
alternative,reference,Negative selection,0.001,0.0,SRV+Double,8
alternative,reference,Negative selection,0.256,100.0,SRV+Double,8
alternative,test,Diversifying selection,2.84,0.0,SRV+Double,8
alternative,test,Diversifying selection,7.003,0.0,SRV+Double,8
alternative,test,Negative selection,0.018,0.0,SRV+Double,8
alternative,test,Negative selection,0.481,100.0,SRV+Double,8
alternative,test,Negative selection,0.001,0.0,SRV+Double,8
alternative,test,Negative selection,0.256,100.0,SRV+Double,8
null,reference,Diversifying selection,1.785,0.0,SRV+Double,8
null,reference,Negative selection,0.002,0.0,SRV+Double,8
null,reference,Negative selection,0.266,100.0,SRV+Double,8
null,test,Diversifying selection,1.785,0.0,SRV+Double,8
null,test,Negative selection,0.002,0.0,SRV+Double,8
null,test,Negative selection,0.266,100.0,SRV+Double,8
alternative,reference,Diversifying selection,2.087,0.0,SRV+Double,9
alternative,reference,Negative selection,0.0,0.0,SRV+Double,9
alternative,reference,Negative selection,0.256,100.0,SRV+Double,9
alternative,test,Diversifying selection,1.48,0.0,SRV+Double,9
alternative,test,Diversifying selection,2.087,0.0,SRV+Double,9
alternative,test,Negative selection,0.003,0.0,SRV+Double,9
alternative,test,Negative selection,0.483,100.0,SRV+Double,9
alternative,test,Negative selection,0.0,0.0,SRV+Double,9
alternative,test,Negative selection,0.256,100.0,SRV+Double,9
null,reference,Diversifying selection,4.558,0.0,SRV+Double,9
null,reference,Negative selection,0.002,0.0,SRV+Double,9
null,reference,Negative selection,0.266,100.0,SRV+Double,9
null,test,Diversifying selection,4.558,0.0,SRV+Double,9
null,test,Negative selection,0.002,0.0,SRV+Double,9
null,test,Negative selection,0.266,100.0,SRV+Double,9
alternative,reference,Diversifying selection,3918.973,0.0,SRV+Double,10
