model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.055,0.0,SRV,1
alternative,reference,Negative selection,0.303,100.0,SRV,1
alternative,reference,Negative selection,0.963,0.0,SRV,1
alternative,test,Diversifying selection,1.051,0.0,SRV,1
alternative,test,Diversifying selection,1.055,0.0,SRV,1
alternative,test,Negative selection,0.327,100.0,SRV,1
alternative,test,Negative selection,0.966,0.0,SRV,1
alternative,test,Negative selection,0.303,100.0,SRV,1
alternative,test,Negative selection,0.963,0.0,SRV,1
null,reference,Diversifying selection,1.227,0.0,SRV,1
null,reference,Negative selection,0.31,100.0,SRV,1
null,reference,Negative selection,0.887,0.0,SRV,1
null,test,Diversifying selection,1.227,0.0,SRV,1
null,test,Negative selection,0.31,100.0,SRV,1
null,test,Negative selection,0.887,0.0,SRV,1
alternative,reference,Diversifying selection,1.494,0.0,SRV,2
alternative,reference,Negative selection,0.299,51.504,SRV,2
alternative,reference,Negative selection,0.306,48.496,SRV,2
alternative,test,Diversifying selection,1.454,0.0,SRV,2
alternative,test,Diversifying selection,1.494,0.0,SRV,2
alternative,test,Negative selection,0.324,51.504,SRV,2
alternative,test,Negative selection,0.331,48.496,SRV,2
alternative,test,Negative selection,0.299,51.504,SRV,2
alternative,test,Negative selection,0.306,48.496,SRV,2
null,reference,Diversifying selection,1.217,0.0,SRV,2
null,reference,Negative selection,0.309,100.0,SRV,2
null,reference,Negative selection,0.337,0.0,SRV,2
null,test,Diversifying selection,1.217,0.0,SRV,2
null,test,Negative selection,0.309,100.0,SRV,2
null,test,Negative selection,0.337,0.0,SRV,2
alternative,reference,Diversifying selection,1.002,0.0,SRV,3
alternative,reference,Negative selection,0.28,84.86,SRV,3
alternative,reference,Negative selection,0.428,15.14,SRV,3
alternative,test,Diversifying selection,1.002,0.0,SRV,3
alternative,test,Diversifying selection,1.002,0.0,SRV,3
alternative,test,Negative selection,0.305,84.86,SRV,3
alternative,test,Negative selection,0.453,15.14,SRV,3
alternative,test,Negative selection,0.28,84.86,SRV,3
alternative,test,Negative selection,0.428,15.14,SRV,3
null,reference,Diversifying selection,1.08,0.0,SRV,3
null,reference,Negative selection,0.292,85.48,SRV,3
null,reference,Negative selection,0.411,14.52,SRV,3
null,test,Diversifying selection,1.08,0.0,SRV,3
null,test,Negative selection,0.292,85.48,SRV,3
null,test,Negative selection,0.411,14.52,SRV,3
alternative,reference,Diversifying selection,1.027,0.0,SRV,4
alternative,reference,Negative selection,0.302,100.0,SRV,4
alternative,reference,Negative selection,0.947,0.0,SRV,4
alternative,test,Diversifying selection,1.025,0.0,SRV,4
alternative,test,Diversifying selection,1.027,0.0,SRV,4
alternative,test,Negative selection,0.328,100.0,SRV,4
alternative,test,Negative selection,0.951,0.0,SRV,4
alternative,test,Negative selection,0.302,100.0,SRV,4
alternative,test,Negative selection,0.947,0.0,SRV,4
null,reference,Diversifying selection,1.115,0.0,SRV,4
null,reference,Negative selection,0.309,100.0,SRV,4
null,reference,Negative selection,0.799,0.0,SRV,4
null,test,Diversifying selection,1.115,0.0,SRV,4
null,test,Negative selection,0.309,100.0,SRV,4
null,test,Negative selection,0.799,0.0,SRV,4
alternative,reference,Diversifying selection,1.002,0.0,SRV,5
alternative,reference,Negative selection,0.28,86.308,SRV,5
alternative,reference,Negative selection,0.446,13.692,SRV,5
alternative,test,Diversifying selection,1.002,0.0,SRV,5
alternative,test,Diversifying selection,1.002,0.0,SRV,5
alternative,test,Negative selection,0.306,86.308,SRV,5
alternative,test,Negative selection,0.471,13.692,SRV,5
alternative,test,Negative selection,0.28,86.308,SRV,5
alternative,test,Negative selection,0.446,13.692,SRV,5
null,reference,Diversifying selection,1.079,0.0,SRV,5
null,reference,Negative selection,0.29,85.781,SRV,5
null,reference,Negative selection,0.423,14.219,SRV,5
null,test,Diversifying selection,1.079,0.0,SRV,5
null,test,Negative selection,0.29,85.781,SRV,5
null,test,Negative selection,0.423,14.219,SRV,5
alternative,reference,Diversifying selection,1.001,0.0,SRV,6
alternative,reference,Negative selection,0.199,69.955,SRV,6
alternative,reference,Negative selection,0.55,30.045,SRV,6
alternative,test,Diversifying selection,1.001,0.0,SRV,6
alternative,test,Diversifying selection,1.001,0.0,SRV,6
alternative,test,Negative selection,0.304,30.045,SRV,6
alternative,test,Negative selection,0.338,69.955,SRV,6
alternative,test,Negative selection,0.199,69.955,SRV,6
alternative,test,Negative selection,0.55,30.045,SRV,6
null,reference,Diversifying selection,1.08,0.0,SRV,6
null,reference,Negative selection,0.274,62.525,SRV,6
null,reference,Negative selection,0.357,37.475,SRV,6
null,test,Diversifying selection,1.08,0.0,SRV,6
null,test,Negative selection,0.274,62.525,SRV,6
null,test,Negative selection,0.357,37.475,SRV,6
alternative,reference,Diversifying selection,1.003,0.0,SRV,7
alternative,reference,Negative selection,0.301,98.118,SRV,7
alternative,reference,Negative selection,0.392,1.882,SRV,7
alternative,test,Diversifying selection,1.003,0.0,SRV,7
alternative,test,Diversifying selection,1.003,0.0,SRV,7
alternative,test,Negative selection,0.326,98.118,SRV,7
alternative,test,Negative selection,0.418,1.882,SRV,7
alternative,test,Negative selection,0.301,98.118,SRV,7
alternative,test,Negative selection,0.392,1.882,SRV,7
null,reference,Diversifying selection,1.08,0.0,SRV,7
null,reference,Negative selection,0.31,100.0,SRV,7
null,reference,Negative selection,0.418,0.0,SRV,7
null,test,Diversifying selection,1.08,0.0,SRV,7
null,test,Negative selection,0.31,100.0,SRV,7
null,test,Negative selection,0.418,0.0,SRV,7
alternative,reference,Diversifying selection,1.008,0.0,SRV,8
alternative,reference,Negative selection,0.303,100.0,SRV,8
alternative,reference,Negative selection,0.391,0.0,SRV,8
alternative,test,Diversifying selection,1.008,0.0,SRV,8
alternative,test,Diversifying selection,1.008,0.0,SRV,8
alternative,test,Negative selection,0.328,100.0,SRV,8
alternative,test,Negative selection,0.416,0.0,SRV,8
alternative,test,Negative selection,0.303,100.0,SRV,8
alternative,test,Negative selection,0.391,0.0,SRV,8
null,reference,Diversifying selection,1.079,0.0,SRV,8
null,reference,Negative selection,0.309,100.0,SRV,8
null,reference,Negative selection,0.365,0.0,SRV,8
null,test,Diversifying selection,1.079,0.0,SRV,8
null,test,Negative selection,0.309,100.0,SRV,8
null,test,Negative selection,0.365,0.0,SRV,8
alternative,reference,Diversifying selection,1.756,0.0,SRV,9
alternative,reference,Negative selection,0.287,34.079,SRV,9
alternative,reference,Negative selection,0.312,65.921,SRV,9
alternative,test,Diversifying selection,1.694,0.0,SRV,9
alternative,test,Diversifying selection,1.756,0.0,SRV,9
alternative,test,Negative selection,0.311,34.079,SRV,9
alternative,test,Negative selection,0.337,65.921,SRV,9
alternative,test,Negative selection,0.287,34.079,SRV,9
alternative,test,Negative selection,0.312,65.921,SRV,9
null,reference,Diversifying selection,1.415,0.0,SRV,9
null,reference,Negative selection,0.293,17.479,SRV,9
null,reference,Negative selection,0.313,82.521,SRV,9
null,test,Diversifying selection,1.415,0.0,SRV,9
null,test,Negative selection,0.293,17.479,SRV,9
null,test,Negative selection,0.313,82.521,SRV,9
alternative,reference,Diversifying selection,1.122,0.0,SRV,10
alternative,reference,Negative selection,0.303,100.0,SRV,10
alternative,reference,Negative selection,0.798,0.0,SRV,10
alternative,test,Diversifying selection,1.114,0.0,SRV,10
alternative,test,Diversifying selection,1.122,0.0,SRV,10
alternative,test,Negative selection,0.327,100.0,SRV,10
alternative,test,Negative selection,0.809,0.0,SRV,10
alternative,test,Negative selection,0.303,100.0,SRV,10
alternative,test,Negative selection,0.798,0.0,SRV,10
null,reference,Diversifying selection,1.139,0.0,SRV,10
null,reference,Negative selection,0.31,100.0,SRV,10
null,reference,Negative selection,0.831,0.0,SRV,10
null,test,Diversifying selection,1.139,0.0,SRV,10
null,test,Negative selection,0.31,100.0,SRV,10
null,test,Negative selection,0.831,0.0,SRV,10
alternative,reference,Diversifying selection,1.021,0.0,SRV+Double,1
alternative,reference,Negative selection,0.303,100.0,SRV+Double,1
alternative,reference,Negative selection,0.343,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.02,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.021,0.0,SRV+Double,1
alternative,test,Negative selection,0.328,100.0,SRV+Double,1
alternative,test,Negative selection,0.368,0.0,SRV+Double,1
alternative,test,Negative selection,0.303,100.0,SRV+Double,1
alternative,test,Negative selection,0.343,0.0,SRV+Double,1
null,reference,Diversifying selection,1.111,0.0,SRV+Double,1
null,reference,Negative selection,0.211,0.0,SRV+Double,1
null,reference,Negative selection,0.31,100.0,SRV+Double,1
null,test,Diversifying selection,1.111,0.0,SRV+Double,1
null,test,Negative selection,0.211,0.0,SRV+Double,1
null,test,Negative selection,0.31,100.0,SRV+Double,1
alternative,reference,Diversifying selection,2.11,0.0,SRV+Double,2
alternative,reference,Negative selection,0.007,0.0,SRV+Double,2
alternative,reference,Negative selection,0.304,100.0,SRV+Double,2
alternative,test,Diversifying selection,2.009,0.0,SRV+Double,2
alternative,test,Diversifying selection,2.11,0.0,SRV+Double,2
alternative,test,Negative selection,0.009,0.0,SRV+Double,2
alternative,test,Negative selection,0.328,100.0,SRV+Double,2
alternative,test,Negative selection,0.007,0.0,SRV+Double,2
alternative,test,Negative selection,0.304,100.0,SRV+Double,2
null,reference,Diversifying selection,1.672,0.0,SRV+Double,2
null,reference,Negative selection,0.006,0.0,SRV+Double,2
null,reference,Negative selection,0.31,100.0,SRV+Double,2
null,test,Diversifying selection,1.672,0.0,SRV+Double,2
null,test,Negative selection,0.006,0.0,SRV+Double,2
null,test,Negative selection,0.31,100.0,SRV+Double,2
alternative,reference,Diversifying selection,1.002,0.0,SRV+Double,3
alternative,reference,Negative selection,0.203,0.0,SRV+Double,3
alternative,reference,Negative selection,0.302,100.0,SRV+Double,3
alternative,test,Diversifying selection,1.002,0.0,SRV+Double,3
alternative,test,Diversifying selection,1.002,0.0,SRV+Double,3
alternative,test,Negative selection,0.226,0.0,SRV+Double,3
alternative,test,Negative selection,0.327,100.0,SRV+Double,3
alternative,test,Negative selection,0.203,0.0,SRV+Double,3
alternative,test,Negative selection,0.302,100.0,SRV+Double,3
null,reference,Diversifying selection,1.141,0.0,SRV+Double,3
null,reference,Negative selection,0.186,0.0,SRV+Double,3
null,reference,Negative selection,0.31,100.0,SRV+Double,3
null,test,Diversifying selection,1.141,0.0,SRV+Double,3
null,test,Negative selection,0.186,0.0,SRV+Double,3
null,test,Negative selection,0.31,100.0,SRV+Double,3
alternative,reference,Diversifying selection,1.004,0.0,SRV+Double,4
alternative,reference,Negative selection,0.012,0.0,SRV+Double,4
alternative,reference,Negative selection,0.303,100.0,SRV+Double,4
alternative,test,Diversifying selection,1.004,0.0,SRV+Double,4
alternative,test,Diversifying selection,1.004,0.0,SRV+Double,4
alternative,test,Negative selection,0.016,0.0,SRV+Double,4
alternative,test,Negative selection,0.327,100.0,SRV+Double,4
alternative,test,Negative selection,0.012,0.0,SRV+Double,4
alternative,test,Negative selection,0.303,100.0,SRV+Double,4
null,reference,Diversifying selection,1.081,0.0,SRV+Double,4
null,reference,Negative selection,0.18,0.0,SRV+Double,4
null,reference,Negative selection,0.31,100.0,SRV+Double,4
null,test,Diversifying selection,1.081,0.0,SRV+Double,4
null,test,Negative selection,0.18,0.0,SRV+Double,4
null,test,Negative selection,0.31,100.0,SRV+Double,4
alternative,reference,Diversifying selection,1.012,0.0,SRV+Double,5
alternative,reference,Negative selection,0.139,0.0,SRV+Double,5
alternative,reference,Negative selection,0.303,100.0,SRV+Double,5
alternative,test,Diversifying selection,1.011,0.0,SRV+Double,5
alternative,test,Diversifying selection,1.012,0.0,SRV+Double,5
alternative,test,Negative selection,0.158,0.0,SRV+Double,5
alternative,test,Negative selection,0.328,100.0,SRV+Double,5
alternative,test,Negative selection,0.139,0.0,SRV+Double,5
alternative,test,Negative selection,0.303,100.0,SRV+Double,5
null,reference,Diversifying selection,1.099,0.0,SRV+Double,5
null,reference,Negative selection,0.208,0.0,SRV+Double,5
null,reference,Negative selection,0.31,100.0,SRV+Double,5
null,test,Diversifying selection,1.099,0.0,SRV+Double,5
null,test,Negative selection,0.208,0.0,SRV+Double,5
null,test,Negative selection,0.31,100.0,SRV+Double,5
alternative,reference,Diversifying selection,1.444,0.0,SRV+Double,6
alternative,reference,Negative selection,0.265,36.128,SRV+Double,6
alternative,reference,Negative selection,0.323,63.872,SRV+Double,6
alternative,test,Diversifying selection,1.408,0.0,SRV+Double,6
alternative,test,Diversifying selection,1.444,0.0,SRV+Double,6
alternative,test,Negative selection,0.29,36.128,SRV+Double,6
alternative,test,Negative selection,0.349,63.872,SRV+Double,6
alternative,test,Negative selection,0.265,36.128,SRV+Double,6
alternative,test,Negative selection,0.323,63.872,SRV+Double,6
null,reference,Diversifying selection,1.181,0.0,SRV+Double,6
null,reference,Negative selection,0.282,37.243,SRV+Double,6
null,reference,Negative selection,0.325,62.757,SRV+Double,6
null,test,Diversifying selection,1.181,0.0,SRV+Double,6
null,test,Negative selection,0.282,37.243,SRV+Double,6
null,test,Negative selection,0.325,62.757,SRV+Double,6
alternative,reference,Diversifying selection,1.002,0.0,SRV+Double,7
alternative,reference,Negative selection,0.06,0.0,SRV+Double,7
alternative,reference,Negative selection,0.303,100.0,SRV+Double,7
alternative,test,Diversifying selection,1.002,0.0,SRV+Double,7
alternative,test,Diversifying selection,1.002,0.0,SRV+Double,7
alternative,test,Negative selection,0.072,0.0,SRV+Double,7
alternative,test,Negative selection,0.327,100.0,SRV+Double,7
alternative,test,Negative selection,0.06,0.0,SRV+Double,7
alternative,test,Negative selection,0.303,100.0,SRV+Double,7
null,reference,Diversifying selection,1.09,0.0,SRV+Double,7
null,reference,Negative selection,0.211,0.0,SRV+Double,7
null,reference,Negative selection,0.31,100.0,SRV+Double,7
null,test,Diversifying selection,1.09,0.0,SRV+Double,7
null,test,Negative selection,0.211,0.0,SRV+Double,7
null,test,Negative selection,0.31,100.0,SRV+Double,7
alternative,reference,Diversifying selection,1.003,0.0,SRV+Double,8
