run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,2.084,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.002,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.317,,100.0
SRV,1,alternative,test,omega,Diversifying selection,2.084,,0.0
SRV,1,alternative,test,omega,Negative selection,0.0,,0.0
SRV,1,alternative,test,omega,Negative selection,0.0,,100.0
SRV,1,alternative,test,omega,Negative selection,0.002,,0.0
SRV,1,alternative,test,omega,Negative selection,0.317,,100.0
SRV,1,null,reference,omega,Diversifying selection,1.659,,0.0
SRV,1,null,reference,omega,Negative selection,0.001,,0.0
SRV,1,null,reference,omega,Negative selection,0.31,,100.0
SRV,1,null,test,omega,Diversifying selection,1.659,,0.0
SRV,1,null,test,omega,Negative selection,0.001,,0.0
SRV,1,null,test,omega,Negative selection,0.31,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,1.236,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.316,,100.0
SRV,2,alternative,reference,omega,Negative selection,0.731,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1645.763,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.236,,0.0
SRV,2,alternative,test,omega,Negative selection,0.0,,100.0
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.316,,100.0
SRV,2,alternative,test,omega,Negative selection,0.731,,0.0
SRV,2,null,reference,omega,Diversifying selection,1.22,,0.0
SRV,2,null,reference,omega,Negative selection,0.309,,100.0
SRV,2,null,reference,omega,Negative selection,0.673,,0.0
SRV,2,null,test,omega,Diversifying selection,1.22,,0.0
SRV,2,null,test,omega,Negative selection,0.309,,100.0
SRV,2,null,test,omega,Negative selection,0.673,,0.0
SRV,3,alternative,reference,omega,Diversifying selection,2.077,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.003,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.317,,100.0
SRV,3,alternative,test,omega,Diversifying selection,2.077,,0.0
SRV,3,alternative,test,omega,Negative selection,0.0,,0.0
SRV,3,alternative,test,omega,Negative selection,0.0,,100.0
SRV,3,alternative,test,omega,Negative selection,0.003,,0.0
SRV,3,alternative,test,omega,Negative selection,0.317,,100.0
SRV,3,null,reference,omega,Diversifying selection,1.647,,0.0
SRV,3,null,reference,omega,Negative selection,0.003,,0.0
SRV,3,null,reference,omega,Negative selection,0.31,,100.0
SRV,3,null,test,omega,Diversifying selection,1.647,,0.0
SRV,3,null,test,omega,Negative selection,0.003,,0.0
SRV,3,null,test,omega,Negative selection,0.31,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,1.016,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.317,,100.0
SRV,4,alternative,reference,omega,Negative selection,0.877,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.884,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.016,,0.0
SRV,4,alternative,test,omega,Negative selection,0.0,,100.0
SRV,4,alternative,test,omega,Negative selection,0.006,,0.0
SRV,4,alternative,test,omega,Negative selection,0.317,,100.0
SRV,4,alternative,test,omega,Negative selection,0.877,,0.0
