model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0892,SRV+Double,1
alternative,reference,2H,0.0643,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0665,SRV+Double,1
null,reference,2H,0.0655,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0902,SRV+Double,2
alternative,reference,2H,0.0352,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0353,SRV+Double,2
null,reference,2H,0.0294,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0898,SRV+Double,3
alternative,reference,2H,0.0357,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0361,SRV+Double,3
null,reference,2H,0.0297,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0899,SRV+Double,4
alternative,reference,2H,0.0619,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0651,SRV+Double,4
null,reference,2H,0.0639,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0891,SRV+Double,5
alternative,reference,2H,0.0669,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0677,SRV+Double,5
null,reference,2H,0.0658,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.089,SRV+Double,6
alternative,reference,2H,0.0272,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0248,SRV+Double,6
null,reference,2H,0.0174,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0888,SRV+Double,7
alternative,reference,2H,0.0591,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0657,SRV+Double,7
null,reference,2H,0.064,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0887,SRV+Double,8
alternative,reference,2H,0.0626,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0651,SRV+Double,8
null,reference,2H,0.0638,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0892,SRV+Double,9
alternative,reference,2H,0.063,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
